ID,Unassigned;p__;c__;o___0,Unassigned;p__;c__;o___1,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales_0,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales_0,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales_1,k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales_0,k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales_1,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales_0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales_1,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales_2,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales_3,k__Bacteria; p__Cyanobacteria; c__4C0d-2; o__YS2_0,k__Bacteria; p__Deferribacteres; c__Deferribacteres; o__Deferribacterales_0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales_0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales_1,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales_0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales_1,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales_2,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales_3,k__Bacteria; p__Firmicutes; c__Bacilli; o__Turicibacterales_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales_1,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales_2,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales_3,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales_4,k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales_0,k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales_1,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__RF32_0,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales_0,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales_0,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales_1,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Thiobacterales_0,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales_0,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales_1,k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales_0,k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales_1,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales_0,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales_0,k__Bacteria; p__TM7; c__TM7-3; o__CW040_0,k__Bacteria; p__Tenericutes; c__Mollicutes; o__Anaeroplasmatales_0,k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39_0,k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales_0
629.di,-0.19432823301124047,0.06551053215095287,-0.1907425253949852,-0.860154515638462,-0.16049707662650708,1.1694420709336635,-0.3593040735011601,-1.4728610407553093,1.6976157277426107,0.9513513468383614,0.9974830688731475,-0.6607605115597889,-0.4596418618278188,-0.3722351487295711,-0.16148198041319856,-0.8051954207754156,0.07664885255430193,0.05347775876419766,-0.21976550751910093,-0.29241604472782384,-0.23563356006065683,-0.820848580035453,0.36430802946349555,-1.3662245756286089,-0.003794551969342559,1.2486416451761386,-0.6397435171622253,-0.5031734322141322,-0.19171662469513903,0.8474262123329848,-1.2216228629549275,-0.17859707447933607,-0.4776698170007218,-0.20630300121315248,-0.047972370155774005,0.039911370636889994,-0.5903619513180262,-0.15691203556686995,-0.41998773432467185,0.15206511547368032,-0.5602557270001859,-0.49913213150465835
681.d8,-0.4086554856445617,0.05117229406752625,-0.1907425253949852,-0.3967380800728154,-0.1428056602633073,-0.39413608910996,-0.17361520351161056,3.8097020878104004,0.3668825660007859,-2.083601961435551,-1.3569750283479405,0.5139393662483398,0.2980979724232466,-0.2664780787440132,-0.12599502839372675,-1.154547095781778,0.3619773441757551,0.2824524920652865,-0.331455401769596,0.12860829151130349,-1.1679111284086852,-0.22202889007253837,-0.3724415081155062,-0.4165911646451502,0.013440588867910191,-0.40239536858657765,-0.5858866401420406,0.07283226671423561,-0.19171662469513903,0.415807519923842,-0.22505234728586235,-0.17859707447933607,-0.5013217141102095,-0.46499419418401383,-0.1940024014520491,-0.07167605116260475,-0.5901665513167589,-0.15691203556686995,-0.41998773432467185,1.273799076063681,-0.484020480623572,-0.49294321771139565
93d0,-0.16957919576861735,0.06716621328324197,0.04978839166079272,-0.22167658021829698,-0.14341522602782303,0.4360516760732034,-0.11066083120170923,-1.069224393520202,0.4775097674090232,0.03345030056088781,-0.44822092299074795,-0.20453363585790418,-0.5667642163260318,-0.3722351487295711,-0.16148198041319856,0.4953010205068359,-1.224374085819245,-0.8453277572999002,-0.23736609680741802,0.15248673119011555,0.5441737770142232,-2.7203854130794785,1.7372908167053167,3.156192760259435,-1.0023536563570052,0.2892628315816676,0.16015284087937953,0.3561092193348476,-0.19171662469513903,0.27819161990297175,0.2253769683094021,-0.17859707447933607,0.2921250955105145,0.6734313433075856,-0.047972370155774005,0.039911370636889994,-0.5897643828311107,-0.15691203556686995,1.6760870823588943,-0.23412007962111073,-0.2519702095006334,0.6935204672164977
681.d14,-0.5886493173117968,0.03913092097901678,-0.1907425253949852,-0.804940199031459,-0.1602708199727571,-1.172263992642438,-0.12707653117905343,3.489947534618508,-1.150177484993489,1.413866902603497,0.46110246650388714,-0.7625167372480867,0.3578360611100046,-0.3722351487295711,-0.16148198041319856,-1.0176356691643282,0.3791293536776877,0.22537698476800824,-0.24185054293517613,-0.29263690245389584,-1.1447609150233036,0.27516139617111224,-0.7814685878082754,-0.4569825144820014,-1.3607681327585044,-0.6566274297726002,-0.32701078055242394,1.2646027630082561,-0.19171662469513903,0.5688573057614589,0.36017330868125474,-0.17859707447933607,-0.5488753607311473,-0.3588144261776923,-0.047972370155774005,0.039911370636889994,0.6051123930009875,-0.15691203556686995,-0.41998773432467185,-0.23412007962111073,-0.6403073153547147,1.151957048547087
71d14,-0.8080516288176096,0.024453167497957996,0.2538727311917995,-0.31759558583718533,-0.14921698840881711,-0.6577602930730766,-0.187425521904482,0.334730383273788,-1.290652192748621,-0.4630895234668114,-0.19927817136000545,-0.768762478018351,-0.5966970913012285,0.7531166915018348,-0.23694721233732982,3.8631891308262567,-2.0266701646079284,4.013778615474672,-0.6266173402947965,-0.05824551725856164,-2.8562590576442366,1.490711506412066,-3.7668801609585447,1.8884759516859093,1.057081896308703,-0.813283828197199,0.12712174448456875,-0.5031734322141322,-0.19171662469513903,1.8483758373744374,0.4114365095247082,-0.17859707447933607,-0.712263142494888,-0.4311364196371672,-0.047972370155774005,0.039911370636889994,3.365391571742626,-0.15691203556686995,-0.41998773432467185,-0.23412007962111073,-0.6341720057705658,-0.5000604077373918
632.d14,-0.7651286389696504,0.02732466442674787,-0.1907425253949852,-0.860154515638462,-0.16049707662650708,-0.9429340200575163,-0.14530648393393775,0.6334197823181981,-0.7441085565176868,1.9267809559565134,0.2288571078607401,-0.7635694382103418,2.8405895963252994,-0.3722351487295711,-0.16148198041319856,-1.1080795159794241,0.3841162642239645,0.3045856023919624,-0.25200448586848023,-0.11727918629797775,-1.353949856185949,0.33851508849714274,-1.1866185421757165,-0.293763594136456,-0.7202947769015795,-0.7468936974297188,-0.5261192582879508,-0.5031734322141322,-0.19171662469513903,-0.2766737019979013,-0.2697362131092571,-0.17859707447933607,-0.14709659466729771,-0.4306348476954148,-0.047972370155774005,0.039911370636889994,-0.5902464536141117,-0.15691203556686995,-0.41998773432467185,-0.23412007962111073,-0.6403073153547147,0.5303745664250796
625.di,-0.6704866750740276,0.03365609915726305,-0.1907425253949852,-0.7755716449820025,-0.15581470028484204,2.172945641696101,-0.09456402868112306,-1.0885203583461047,0.5992320980666821,0.6195478708808195,1.169970770429846,-0.6023294584389061,0.10701561931797303,-0.3722351487295711,-0.16148198041319856,0.7398902991500315,-2.60454569524521,-1.7945756582624979,0.026498214866042057,-0.4122320630410387,1.9261788644761508,-1.5253885245031769,0.8206241569817249,0.002801624690669591,3.0153631984353644,0.14207734513528206,0.2503714594565621,-0.5031734322141322,-0.19171662469513903,-0.6120933802698483,0.014296825032771934,-0.17859707447933607,0.741191820388586,1.4247193125124031,-0.047972370155774005,0.039911370636889994,-0.5888813055053497,-0.15691203556686995,-0.41998773432467185,0.7180695183142355,0.9140409332143813,-0.4926572491930792
82d0,1.885215691428462,-2.383379623235019,-0.1907425253949852,-0.8230241114600977,-0.15844159512378797,0.17978684993771946,-0.3385180244150385,-1.8082901677538263,1.0945998919412496,-0.10746571705739406,-0.9581522496070198,0.7216858225421899,0.46004503787396755,-0.3722351487295711,-0.16148198041319856,-1.0487466092650286,0.26698126188153853,0.2328446865270523,-0.23290033128981352,-0.41681974806030775,7.310140651737607,0.47884756169801995,-0.11728416596007145,-2.0429180626458363,0.8566537137561148,-0.645781550047721,-0.5436613123901015,-0.5031734322141322,5.8366665979934815,-0.5552367658017309,-0.03384929754729992,-0.17859707447933607,5.534773627208913,-1.6147760409413618,2.5554183071755885,-0.6451831623822684,-0.5884120182981488,9.394224106098259,-0.41998773432467185,-0.23412007962111073,-0.23415746030596668,-0.5015316186977915
303d14,-0.7424544379854026,0.028841541483067994,-0.1907425253949852,-0.7875552277975082,-0.15647809281607464,-1.088659231260711,-0.1412086380374981,6.177513833703423,1.0451638661045717,-0.4902233764293241,-0.7194083489950479,-0.6893996879396849,-0.4220793352490464,-0.3722351487295711,-0.16148198041319856,-0.44960402138733463,-0.08387576490986626,0.5884978659764495,-0.23465223623504197,-0.45795768189157454,-1.6326395015771484,-0.5483547580822042,-0.25765299277712006,-0.7925515901700885,-0.5195395392311042,-1.6182833246369568,9.125361423649757,-0.4016475026234355,-0.19171662469513903,-0.6470046291078302,0.04385963459680967,-0.17859707447933607,-0.5625672059814639,-0.3458356234456038,-0.047972370155774005,0.039911370636889994,-0.48692725533340353,-0.15691203556686995,-0.41998773432467185,-0.23412007962111073,-0.4873646811883944,-0.5015316186977915
999.d0,-0.3127947950963629,0.057585260160425575,-0.1907425253949852,2.654497618515254,-0.034527855331263214,2.31202849762452,2.15571392421759,-1.114193221859701,-0.9701393278418546,-0.24580245443664925,0.08485372924712882,-0.7309191076599271,-0.6235386083215391,-0.3722351487295711,-0.16148198041319856,-0.8339929289916745,-0.10389314471515984,0.0028342806887824215,-0.24158138244591185,-0.48747257884746,-2.04724115692432,0.43980933171211367,0.7367622320173067,-0.7351354724561836,-0.14744913519000613,1.5579283439579,-0.9259852881636988,-0.46283039329673725,-0.19171662469513903,-0.6853932535925907,0.0763670822775021,-0.17859707447933607,0.24086713880606853,1.5442121324575024,-0.7818200281693335,-0.5208511480342898,-0.5900813948715533,-0.15691203556686995,-0.22316768273675403,-0.23412007962111073,-0.19618719036132698,0.38688073472894047
83d8,-0.5479842983383655,0.0418513623440057,-0.1907425253949852,-0.8449255251716167,-0.15965402336860784,-1.086213543889965,-0.14806082832365955,0.8685762490984111,-1.9676610958196696,-2.3930733493375147,-3.6471055587200127,-0.19341605742105958,0.46472671928858933,0.2770526453845966,0.05638756532690811,0.7436127245085895,3.0475300527769313,-0.6580058619805421,-0.6062306214157813,-0.10168809495990486,-0.5194244016764554,0.7009602603026571,-2.2583583142736994,1.343505704640954,0.4677904485141143,-0.7193585753700247,-0.45345797151700207,-0.5031734322141322,-0.19171662469513903,-0.5625722286019653,-0.027637635202196875,-0.17859707447933607,-0.49062011053440413,-0.16117373539263843,-0.047972370155774005,0.039911370636889994,1.1042370982641119,-0.15691203556686995,-0.41998773432467185,-0.23412007962111073,-0.44040906783974454,-0.5015316186977915
614.di,0.2048206508419881,-1.2094049959042799,-0.1907425253949852,-0.860154515638462,-0.16049707662650708,-0.7340487825708945,-0.19555400150840185,-0.9570223049616958,1.0670442364568866,0.33165926610431234,0.26658090866874257,0.3776980736867165,-0.5732251072715925,-0.3722351487295711,-0.16148198041319856,0.6991883648727348,-2.109918098023189,-1.6716932460437672,0.17772421753274079,-0.48224850424316934,-1.4900039525599302,-1.2005949239622753,0.4880991559703277,-1.9787601846246512,-0.40537946073490305,-0.8152488798121463,-0.13442731809340647,-0.5031734322141322,-0.19171662469513903,0.8695117765108202,0.3433453087140782,-0.17859707447933607,-0.7760154899946295,-0.34619319459549175,-0.047972370155774005,0.039911370636889994,-0.5898715998600175,-0.15691203556686995,-0.41998773432467185,-0.23412007962111073,0.6016528167146855,-0.49957231148725384
98d8,-0.8080516288176096,0.024453167497957996,-0.1907425253949852,-0.8541645872530713,-0.16016548349491502,-1.0918115115762534,-0.1441723639231237,-1.0774554788255042,-1.4079324864800946,-0.01296016873550656,-0.1301182859767011,-0.6485418827940351,0.2681712060002923,-0.3722351487295711,-0.16148198041319856,1.0360076549014987,0.23633324551383983,3.692377795930222,2.2249895473043724,-0.30414480110119524,-2.8027542430281716,0.7571181565804677,-2.5557398508445606,1.0330751778975242,1.1175826233912713,-1.013969334185242,1.0431349725753414,-0.4918650621384503,3.698312000916849,-0.6734263475312465,0.06623351854839962,-0.17859707447933607,-0.6547292942231675,-0.172574783633978,0.7919928314885973,-0.18112943302872486,4.49553154143411,-0.15691203556686995,-0.41998773432467185,-0.23412007962111073,-0.6298240099372258,-0.49901778404611014
625.d14,-0.5828686282574023,0.03951764219589332,-0.1907425253949852,-0.860154515638462,-0.16049707662650708,-0.8951280697491325,-0.18347628490297493,0.4248442711834892,-0.9674103788214519,-0.09688537458292415,-1.8024793383952873,1.6286897388977928,-0.3566675339934465,-0.3722351487295711,-0.16148198041319856,-0.7054255270554045,-0.2502821746156781,-0.007711990948521195,-0.21435495843071603,-0.010334464679862218,8.860039265581609,2.5134785042451093,-1.9531394806576603,-0.5193907943202752,-1.9482678301636196,-0.768010247711936,-0.4051162521957068,-0.5031734322141322,-0.19171662469513903,-0.7083789486549941,0.09583134518543876,-0.17859707447933607,-0.7921410863759986,-0.3732766303994513,-0.047972370155774005,0.039911370636889994,-0.5782434481021966,-0.15691203556686995,-0.41998773432467185,0.1555447749263766,-0.6403073153547147,0.4644902282055752
81d8,-0.7246654210170621,0.03003160554364992,0.05009799742113277,-0.8305314724364848,-0.15885719096667383,-0.9100936180420804,-0.15358858386651447,1.1113483410219511,-2.1419136862032255,-2.126575462255393,-3.6651986230093354,0.7243331547880567,-0.17231306915648348,-0.2103148884996327,-0.10714938112177634,1.4241233403730575,2.639231711617253,-0.39256768692063576,0.510573426173055,-0.17705525479151127,-1.6908329196516239,1.580053486085404,-3.8748608382257443,2.5839592886676495,1.5569081096480153,-0.5957228330888167,-0.3500421336011605,-0.5031734322141322,-0.19171662469513903,-0.6126357060938498,0.014756065982043544,-0.17859707447933607,-0.7432434602643465,-0.3189051415207934,-0.047972370155774005,0.039911370636889994,0.32010244397231197,5.704627227996797,-0.41998773432467185,-0.23412007962111073,-0.5904564224986552,-0.5015316186977915
81di,0.6401497445421543,0.12133611555451114,-0.1907425253949852,0.03701133081932937,-0.13007950157556286,-0.061780627159643116,-0.30368022304149905,-1.1594446471718585,0.3207879459499534,0.612863680068787,-0.19895972869376927,0.993963418971886,-0.2821548784257938,-0.3722351487295711,-0.16148198041319856,2.590167530962564,-1.6447495377030859,-2.715235746767338,2.190628238399446,-0.06664409158437136,-0.5785104143540605,-0.5050250503055198,-0.05933373633846836,-1.3669519955321106,-0.3457272885571325,0.16640341818414894,0.13719071262706636,-0.5031734322141322,-0.19171662469513903,-0.4442027162911188,-0.1278728163288731,-0.17859707447933607,-0.5132575766688267,-0.093007539454407,-0.047972370155774005,0.039911370636889994,-0.5898896073306895,-0.15691203556686995,-0.41998773432467185,-0.23412007962111073,-0.10509770877515136,-0.49964426430100667
