Group	_min1	_min1	7_13	_min1	7_13	_min1	_min1	_min1	_min1	_min1	7_13	_min1	_min1	_min1	_min1	_min1	7_13	7_13	_min1	7_13	_min1	_min1	_min1	_min1	_min1	_min1	7_13	_min1	7_13	_min1	7_13	_min1	_min1	7_13	_min1	7_13	_min1	_min1	7_13	_min1	_min1	7_13	_min1	_min1	7_13	_min1	7_13	_min1	7_13	_min1	7_13	7_13	_min1	7_13	_min1	7_13	_min1	7_13	7_13	7_13	_min1	_min1	7_13	_min1	_min1	7_13	_min1	7_13	_min1	7_13	_min1	7_13	_min1	7_13	_min1	7_13	_min1	7_13	_min1	_min1	7_13	_min1	7_13	_min1	7_13	_min1	_min1	7_13	_min1
ID	R009W00	R010W00	R010W02	R014W01	R014W02	R016W00	R021W01	R022W00	R028W01	R044W01	R044W03	R057W00	R058W00	R007W01	R024W00	R025W01	R028W03	R029W02	R031W00	R031W02	R039W00	R002W00	R003W00	R006W00	R020W00	R036W00	R057W02	R063W01	R063W03	R066W00	R066W03	R067W00	R069W00	R069W02	R071W00	R071W02	R073W00	R077W00	R077W02	R081W00	R082W01	R082W02	R084W00	R086W00	R086W02	R087W01	R087W03	R089W00	R089W02	R092W00	R096W03	R103W02	R116W00	R116W03	R120W01	R120W03	R121W00	R121W02	R125W02	R129W03	R130W00	R134W00	R134W02	R135W00	R139W00	R139W02	R148W01	R148W03	R151W01	R151W03	R156W01	R156W03	R157W01	R157W02	R159W01	R159W03	R161W00	R161W03	R165W01	R169W00	R169W03	R171W01	R171W02	R174W01	R174W03	R179W01	R187W00	R198W03	R206W00
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Tannerella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	37	31	0	0	0	53	0	11	0	0	27	0	0	0	6	0	45	37	0	0	0	0	17	17	6	17	0	0	0	0	0	0	0	0	0	0	2	0	20	0	57	0	0	12	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	19	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	0	9951	34	2552	96	7088	8978	3842	3170	5130	16124	3186	3424	17391	144	13311	705	2533	7703	10093	1582	6202	10105	8383	7868	2248	0	7533	32420	5915	23	17027	5136	35	6518	9065	15446	10874	8183	2869	13588	167	11043	7234	7852	19684	13886	15941	6537	4393	2438	876	7257	14	9547	26	49349	3	2482	5795	2218	2531	1570	4624	3152	7396	1396	859	7	0	1873	68	353	965	6375	852	12625	3	3236	5742	7026	15623	5558	10029	397	8302	8040	9	8983
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|Unclassified_member_of_Rikenellaceae	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__[Paraprevotellaceae]|g__[Prevotella]	0	37	2	11	0	388	0	53	0	0	30	19	13	64	247	0	0	0	48	723	14	5	29	313	13	11	0	164	299	501	0	140	27	0	154	87	487	113	677	22	234	76	241	125	616	224	142	46	46	199	0	434	383	24	451	5	377	0	10	1024	88	7	75	0	689	47	0	5	0	0	321	21	0	0	0	0	185	0	62	0	0	100	52	404	38	207	99	0	194
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga	0	31	15	0	0	74	14	64	170	185	400	37	209	10	11608	50	20	0	404	185	803	206	0	0	172	77	0	1314	1265	147	0	42	37	0	218	205	45	113	119	74	186	24	898	266	6	104	3	159	171	61	12	8	862	0	65	0	332	0	202	175	176	60	135	300	72	0	403	58	0	0	710	0	32	135	4	44	13	0	660	82	303	0	0	187	103	46	46	0	148
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__[Weeksellaceae]|Unclassified_member_of_Weeksellaceae	0	3	4	0	0	8	0	63	0	0	36	0	10	3	19	0	0	26	4	143	28	18	0	0	14	0	0	0	4	0	0	0	31	0	0	5	10	7	70	0	0	0	5	42	4	0	0	0	17	15	0	0	13	0	0	0	3	0	19	0	16	9	31	0	0	0	5	0	0	0	0	0	0	8	0	0	0	0	0	11	48	0	12	0	0	7	4	0	0
k__Bacteria|p__Chloroflexi|c__Anaerolineae|o__Anaerolineales|f__Anaerolinaceae|g__SHD-231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus	75	0	532	0	1870	0	0	0	303	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	268	0	0	0	15437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	482	7	0	0	0	6	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Gemellales|f__Gemellaceae|Unclassified_member_of_Gemellaceae	1676	78	6	1365	0	0	324	561	150	3008	695	58	78	852	0	27	1102	584	661	211	593	244	3474	1096	558	75	0	161	93	533	0	385	153	0	95	3919	325	91	401	206	136	5	505	553	9	168	0	94	205	328	0	4865	265	0	249	0	281	0	33	1642	306	394	831	0	91	0	77	0	0	0	449	0	316	738	0	0	53	0	947	76	627	270	61	1139	0	37	125	0	812
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|Unclassified_member_of_Lactobacillales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0
