k,idx,cycles,deg,modularity
110,0,2,3.9696969696969697,0.4217702931064624
110,1,2,3.9696969696969697,0.4162636210011072
110,2,2,3.9696969696969697,0.4114562088456384
110,3,2,4.0,0.4292929292929292
110,4,2,3.909090909090909,0.4303527432245658
110,5,2,4.0,0.4039256198347107
110,6,2,3.9696969696969697,0.41839053668201154
110,7,2,3.909090909090909,0.4105822967369749
110,8,2,4.0,0.44619490358126723
110,9,2,4.03030303030303,0.429532477811069
120,0,2,4.0,0.4799642927990478
120,1,2,4.028169014084507,0.45102449997554894
120,2,2,3.971830985915493,0.42734268899954736
120,3,2,3.943661971830986,0.4276785714285714
120,4,2,3.971830985915493,0.44142648760122727
120,5,2,4.028169014084507,0.46268766198836137
120,6,2,3.971830985915493,0.45628992505407173
120,7,2,4.028169014084507,0.43647611130128616
120,8,2,4.0,0.41437710771672287
120,9,2,4.0,0.4274945447331878
130,0,2,4.026315789473684,0.4305822546883677
130,1,2,4.0,0.41620498614958445
130,2,2,3.973684210526316,0.4783123547212842
130,3,2,3.9473684210526314,0.4708888888888889
130,4,2,4.026315789473684,0.43231235849459604
130,5,2,3.973684210526316,0.45633963422656904
130,6,2,3.973684210526316,0.46877329941669227
130,7,2,4.0,0.4445983379501385
130,8,2,4.0,0.4374350761772853
130,9,2,3.973684210526316,0.4803298100960484
140,0,2,4.0246913580246915,0.44431480296586245
140,1,2,4.0246913580246915,0.44664834958033794
140,2,2,4.0246913580246915,0.46012269938650313
140,3,2,4.0,0.4423487273281511
140,4,2,4.0246913580246915,0.4519552862358388
140,5,2,3.950617283950617,0.43060546875000005
140,6,2,4.0,0.42337296143880504
140,7,2,3.9753086419753085,0.4292079780872652
140,8,2,3.9753086419753085,0.4540526985841596
140,9,2,4.0246913580246915,0.4485302420113666
150,0,2,4.0,0.4678204434829637
150,1,2,3.9767441860465116,0.46852022844635954
150,2,2,3.9767441860465116,0.4616121199685373
150,3,2,3.9302325581395348,0.45598893596162593
150,4,2,4.023255813953488,0.4347789769120251
150,5,2,3.953488372093023,0.46692041522491345
150,6,2,3.953488372093023,0.4683737024221454
150,7,2,4.0,0.44013656030286646
150,8,2,3.9767441860465116,0.471837488457987
150,9,2,4.0,0.4389027852893456
160,0,2,4.0,0.4623233908948195
160,1,2,4.0,0.4776597029344282
160,2,2,3.934065934065934,0.45774164351924096
160,3,2,4.0,0.44288129452964614
160,4,2,3.978021978021978,0.45957083117120956
160,5,2,3.978021978021978,0.4611886084063367
160,6,2,4.021978021978022,0.45783690166920477
160,7,2,4.021978021978022,0.48209859954014744
160,8,2,3.956043956043956,0.44975308641975303
160,9,2,4.0,0.44270015698587123
170,0,2,4.020833333333333,0.460173427474563
170,1,2,4.0,0.4495578342013889
170,2,2,4.0,0.4659423828125
170,3,2,4.0,0.46247016059027773
170,4,2,4.0,0.44148763020833337
170,5,2,3.9583333333333335,0.4708171745152354
170,6,2,4.020833333333333,0.4575290611828505
170,7,2,3.9791666666666665,0.46818892025986125
170,8,2,4.020833333333333,0.45132755241751454
170,9,2,4.0,0.4440239800347223
180,0,2,3.9603960396039604,0.44925
180,1,2,4.0,0.463814822076267
180,2,2,4.01980198019802,0.46015433521803495
180,3,2,3.9603960396039604,0.4628625
180,4,2,4.01980198019802,0.46312698682326675
180,5,2,3.9603960396039604,0.44885
180,6,2,4.01980198019802,0.4353903273556748
180,7,2,4.0,0.4747451230271542
180,8,2,4.0,0.4542936966964023
180,9,2,4.01980198019802,0.4486641267684244
190,0,2,4.0,0.45496618013527945
190,1,2,3.981132075471698,0.48708474652411227
190,2,2,4.018867924528302,0.4515087394476404
190,3,2,4.018867924528302,0.48427340254358703
190,4,2,4.0,0.46900587397650406
190,5,2,4.0,0.45047169811320753
190,6,2,4.018867924528302,0.4791156957393815
190,7,2,3.943396226415094,0.4508024083697717
190,8,2,4.0,0.44799083303666787
190,9,2,3.9622641509433962,0.477233560090703
200,0,2,3.981981981981982,0.45584652238897644
200,1,2,4.018018018018018,0.4739890204910616
200,2,2,4.018018018018018,0.48970419674636534
200,3,2,3.963963963963964,0.4736363636363635
200,4,2,3.981981981981982,0.46709731577977526
200,5,2,3.981981981981982,0.4710693884236605
200,6,2,4.018018018018018,0.4698666773914617
200,7,2,4.018018018018018,0.4661364596110922
200,8,2,4.018018018018018,0.47327515132015524
200,9,2,4.0,0.4693308173037903
