Taxonomy level,taxonomy group,normalization 1,normalization 2,Dim Red,TRAIN-AUC,TEST-AUC
four,pca_anna,log,col,PCA,0.8598484848484848,0.7583333333333334
four,pca_anna,log,col,ICA,0.8634469696969698,0.7916666666666666
four,pca_anna,log,col,None,0.9956439393939396,0.8361111111111109
four,pca_anna,log,both,PCA,0.8448863636363637,0.7472222222222222
four,pca_anna,log,both,ICA,0.8564393939393941,0.7500000000000001
four,pca_anna,log,both,None,0.9960227272727272,0.8083333333333332
four,pca_anna,log,No,PCA,0.8248106060606061,0.7555555555555555
four,pca_anna,log,No,ICA,0.8040719696969697,0.7388888888888889
four,pca_anna,log,No,None,0.9914772727272728,0.8583333333333332
four,pca_anna,relative,z_after_relative,PCA,0.7473484848484849,0.725
four,pca_anna,relative,z_after_relative,ICA,0.7585227272727273,0.7138888888888888
four,pca_anna,relative,z_after_relative,None,0.9551136363636364,0.6944444444444444
four,pca_anna,relative,No,PCA,0.5741477272727271,0.6694444444444445
four,pca_anna,relative,No,ICA,0.6175189393939394,0.6694444444444445
four,pca_anna,relative,No,None,0.6992424242424242,0.6972222222222222
five,mean,log,row,PCA,0.7291666666666666,0.6333333333333333
five,mean,log,row,ICA,0.6920454545454546,0.6222222222222222
five,mean,log,row,None,0.8376893939393939,0.65
five,mean,log,col,PCA,0.8143939393939394,0.6513888888888889
five,mean,log,col,ICA,0.8056818181818182,0.6861111111111111
five,mean,log,col,None,0.9901515151515152,0.6833333333333333
five,mean,log,both,PCA,0.7946969696969697,0.6833333333333332
five,mean,log,both,ICA,0.7831439393939393,0.675
five,mean,log,both,None,0.9929924242424242,0.75
five,mean,log,No,PCA,0.7922348484848485,0.65
five,mean,log,No,ICA,0.7933712121212121,0.6527777777777778
five,mean,log,No,None,0.8304924242424244,0.65
five,mean,relative,z_after_relative,PCA,0.8007575757575758,0.6388888888888891
five,mean,relative,z_after_relative,ICA,0.7956439393939394,0.6194444444444445
five,mean,relative,z_after_relative,None,0.9708333333333334,0.7388888888888888
five,mean,relative,No,PCA,0.6191287878787879,0.6944444444444444
five,mean,relative,No,ICA,0.6617424242424242,0.6388888888888891
five,mean,relative,No,None,0.7320075757575758,0.7138888888888889
five,sum,log,row,PCA,0.7257575757575758,0.6416666666666667
five,sum,log,row,ICA,0.7310606060606062,0.6444444444444444
five,sum,log,row,None,0.8013257575757576,0.6305555555555555
five,sum,log,col,PCA,0.8113636363636363,0.6833333333333333
five,sum,log,col,ICA,0.8140151515151516,0.6611111111111111
five,sum,log,col,None,0.9928030303030304,0.7166666666666667
five,sum,log,both,PCA,0.7846590909090909,0.6444444444444444
five,sum,log,both,ICA,0.7899621212121213,0.6430555555555556
five,sum,log,both,None,0.9964015151515152,0.6861111111111112
five,sum,log,No,PCA,0.7804924242424243,0.6361111111111111
five,sum,log,No,ICA,0.7784090909090909,0.6277777777777778
five,sum,log,No,None,0.7496212121212121,0.6305555555555554
five,sum,relative,z_after_relative,PCA,0.8159090909090908,0.6638888888888891
five,sum,relative,z_after_relative,ICA,0.8123106060606059,0.6805555555555556
five,sum,relative,z_after_relative,None,0.9679924242424244,0.6972222222222222
five,sum,relative,No,PCA,0.4857954545454545,0.4833333333333333
five,sum,relative,No,ICA,0.4892992424242424,0.5083333333333333
five,sum,relative,No,None,0.7353219696969697,0.6444444444444444
five,pca_anna,log,row,PCA,0.8274621212121213,0.7416666666666666
five,pca_anna,log,row,ICA,0.8240530303030302,0.7166666666666667
five,pca_anna,log,row,None,0.9928030303030304,0.7916666666666667
five,pca_anna,log,col,PCA,0.8613636363636363,0.7194444444444444
five,pca_anna,log,col,ICA,0.8670454545454545,0.7583333333333333
five,pca_anna,log,col,None,0.9977272727272728,0.7583333333333334
five,pca_anna,log,both,PCA,0.8532196969696969,0.7194444444444444
five,pca_anna,log,both,ICA,0.86875,0.7361111111111109
five,pca_anna,log,both,None,0.9990530303030304,0.7527777777777778
