ID,else;,k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae_0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f___0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae_0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae_0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae_0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae_0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7_0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Odoribacteraceae]_0,k__Bacteria; p__Deferribacteres; c__Deferribacteres; o__Deferribacterales; f__Deferribacteraceae_0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Dehalobacteriaceae_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Mogibacteriaceae]_0,k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae_0,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae_0,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae_0,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__mitochondria_0,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae_0,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae_0,k__Bacteria; p__Tenericutes; c__Mollicutes; o__Anaeroplasmatales; f__Anaeroplasmataceae_0,k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae_0
207,-0.012558603268176857,-0.000648117807705714,0.042697706072680544,0.03341431788984223,0.0009296784546745572,0.27213694563515883,0.1195977466074458,0.011095472084492533,0.03569074523825366,0.0025331282448677467,0.01780636085899823,-0.005306603981633793,-0.0006800272751598162,-0.0016851753487364947,-0.00021946314528695273,-0.0029208442880121273,-0.000576684285003614,-0.00035571161085545035,-0.00453472158892258,-0.00648233381396875,0.006230316957490074,0.01832770123597567,-0.0006976097089646912,0.008839742304029202,0.0023445243075508916
218,-0.012558603268176857,-0.0004942668445439678,-0.03227180099784833,-0.039871389509430324,-0.0011178547958920872,-0.15132324760928045,0.009727400274755571,-0.010711869599983291,0.0038842040716989402,-0.03894867522608202,0.01568566221593256,0.004769751363124227,-0.0019228456320184635,-0.003076156782056321,-0.0019416886819350822,-0.0029208442880121273,-0.0009179398267647212,-0.001038222694377665,-0.00439205516424004,-0.0057801862290352505,0.0018529044188295345,-0.0068720187374973676,-0.011367822401406559,-0.005834245991698413,-0.0010680311100601813
113,-0.004696720293164542,0.0005614026499884886,-0.05675680338007295,-0.013149546847148025,0.003921813777833758,-0.15838023870517898,-0.01569360833549981,-0.010193275836935831,-0.025593887549551955,-0.026991837758538473,-0.0005579209035728238,0.03973474779399857,-0.0013942041797583374,-0.0010945484151441845,0.0013540763171378612,-0.0029208442880121273,-0.0007163530838156873,-0.001038222694377665,-0.004648473436176284,-0.007164844897490965,-0.000889964385894372,-0.006134694793088286,-0.009837144870325125,-0.0054310725058003455,-0.0010680311100601813
246,-0.012558603268176857,-0.000648117807705714,-0.0581669745611103,-0.03365061626193701,-0.0009786789087806512,0.0015314528349472667,-0.0017800677994567109,-0.019713156925452748,0.03555568086819069,0.13258796906325934,-0.01622747644358153,-0.006945756078607188,0.000950772853576313,0.00038898097337652536,0.00689287733774928,-0.0029208442880121273,-8.288450409610653e-05,-0.0007598709201547935,-0.004555689511435325,-0.005773086026376608,-0.0014660162638689938,-0.005165457737400875,0.007602350085500483,-0.004164135346361184,-0.0010680311100601813
176,-0.009618397092795637,-0.00020708688139853086,-0.06484748683262048,-0.029694889968778917,-0.0006033187152003735,-0.32236918403489484,-0.026977672029699876,0.004867922791197875,-0.03281393176473793,-0.04195057481234474,-0.018155085526152095,-0.007765545166067749,-0.0017929582127890033,-0.0028617891211879195,-0.004196093823847932,-0.0029208442880121273,-0.0004769089004575381,-0.0008912123856086039,-0.0037664115835619174,-0.007164844897490965,-0.002007050968999487,-0.0004514497324074771,-0.01011209283766675,-0.003482081051393436,-0.0010680311100601813
216,-0.012463574925838645,-0.000648117807705714,-0.06671772850311089,-0.035466800456895466,-0.0006902272553701336,0.4155246553038523,-0.04336790787116154,-0.0179319031946702,-0.051755053376217997,-0.04514338680606679,-0.019305695690255774,-0.008690284952507189,-0.0029982821257830902,-0.00033389915376888935,-0.005964008771887779,-0.0029208442880121273,-0.0007278831420882975,-0.00046805264034839394,0.07321141505293198,0.7313004034127534,-0.002015986559522973,-0.0031975583627189977,-0.008339947269034819,-0.005264075937669142,-0.0010680311100601813
142,0.01202349102654817,0.0005568868145847286,-0.06574216772341464,-0.005103340394480249,0.0002076502886274002,-0.14098608276453603,-0.03281228757962594,0.03739810784970682,-0.03539498932394293,-0.037067887407711185,0.02183940528735802,-0.005572304425978824,0.0013296132384270675,0.011646773603398405,-0.002717584769620947,-0.0029208442880121273,-0.00043593797784854406,0.0016127874746613092,-0.004648473436176284,-0.007164844897490965,0.00300094875154034,0.006029078138939546,-0.010563372539056266,-0.005834245991698413,-0.0010680311100601813
131,-0.012257549373083326,-4.601001751865263e-05,-0.0771733161241291,-0.02858824546499358,0.00038741467957556643,-0.08023621654699292,0.0010963790622328241,0.036904816161990095,-0.033811198709795626,-0.03099306887053569,0.0034636522689445023,0.026732863977147837,0.0021092498007993874,0.0003336577143571676,0.0011809055421172845,-0.0029208442880121273,0.0002862757536094016,-0.0007371687992841345,-0.004548122137811773,-0.007164844897490965,-0.0023010715865376084,0.058884989231134215,0.002520156648848641,-0.005834245991698413,0.008264639637839268
139,-0.010721698632902276,8.664404640411783e-05,-0.01235090021395577,-0.02243925621364475,-0.0011178547958920872,-0.1869597495981726,-0.0361061703855027,-0.0034615270497946227,0.031316621927310245,-0.035192735644735504,-0.014379473333904524,-0.005677423618527406,-0.0015119368194649427,-0.0014568267709928865,-0.0020441821508203053,-0.0029208442880121273,-0.0007342493632372632,-0.001038222694377665,-0.00458724328166713,-0.007164844897490965,-0.0023010715865376084,-0.002805642500860767,-0.010609098102061376,-0.005834245991698413,-0.0010680311100601813
178,-0.012558603268176857,-0.00044180262617473374,-0.06472793146394924,-0.023624546244617975,-0.0006020668420646364,-0.1826570444109928,-0.04235409426808428,-0.0025823000978737673,-0.04328791148515762,0.028768746311376936,-0.021008858535872227,-0.008009111539461605,-0.0013469197939388724,0.010360335252698903,-0.00035532063209571193,-0.0029208442880121273,0.002176787896199983,-0.00021296196825374412,-0.00437338652746831,-0.007164844897490965,-0.0023010715865376084,-0.0007279441260452821,0.03038906807534697,-0.0052153004471054715,-0.0010680311100601813
