,learning_rate,latent_layer_size,klb_coefficient,best_loss
273,0.003375,10,0.04096000000000001,0.01764423892183124
274,0.003375,10,0.06553600000000001,0.018344928633491946
275,0.003375,10,0.10485760000000002,0.01991345522538671
276,0.003375,10,0.16777216000000006,0.02105738531868413
277,0.003375,10,0.2684354560000001,0.021498637379340407
278,0.003375,10,0.42949672960000024,0.02234261890627303
279,0.003375,10,0.6871947673600003,0.022660295918302716
280,0.003375,20,0.01,0.014057932034978326
281,0.003375,20,0.016,0.0159268356719107
282,0.003375,20,0.025600000000000005,0.015713903139222343
283,0.003375,20,0.04096000000000001,0.017286413120773603
284,0.003375,20,0.06553600000000001,0.01867283965056797
285,0.003375,20,0.10485760000000002,0.01997480977256343
286,0.003375,20,0.16777216000000006,0.021108496863886994
287,0.003375,20,0.2684354560000001,0.021510839462280273
288,0.003375,20,0.42949672960000024,0.022459356289989543
289,0.003375,20,0.6871947673600003,0.0227545162416854
290,0.003375,30,0.01,0.014702900400701558
291,0.003375,30,0.016,0.015108776542375673
292,0.003375,30,0.025600000000000005,0.015606676632503294
293,0.003375,30,0.04096000000000001,0.017225078816683788
294,0.003375,30,0.06553600000000001,0.01853347274492372
295,0.003375,30,0.10485760000000002,0.020538118650328438
296,0.003375,30,0.16777216000000006,0.020440549220678943
297,0.003375,30,0.2684354560000001,0.021971527135597087
298,0.003375,30,0.42949672960000024,0.022588333993587853
299,0.003375,30,0.6871947673600003,0.022636890411376953
300,0.003375,40,0.01,0.013333653503993773
301,0.003375,40,0.016,0.014603161586905425
302,0.003375,40,0.025600000000000005,0.015935859590206505
303,0.003375,40,0.04096000000000001,0.01732788220891413
304,0.003375,40,0.06553600000000001,0.01903711624865262
305,0.003375,40,0.10485760000000002,0.0203674334400105
306,0.003375,40,0.16777216000000006,0.02103382686399064
307,0.003375,40,0.2684354560000001,0.021857356125453732
308,0.003375,40,0.42949672960000024,0.022698283195495605
309,0.003375,40,0.6871947673600003,0.022715091705322266
310,0.003375,50,0.01,0.013739291227088784
311,0.003375,50,0.016,0.01471909262099356
312,0.003375,50,0.025600000000000005,0.016089383161292888
313,0.003375,50,0.04096000000000001,0.017830109821175628
314,0.003375,50,0.06553600000000001,0.019798688168795604
315,0.003375,50,0.10485760000000002,0.020373661563081562
316,0.003375,50,0.16777216000000006,0.0220819261838805
317,0.003375,50,0.2684354560000001,0.022348030558172263
318,0.003375,50,0.42949672960000024,0.022816723247744003
319,0.003375,50,0.6871947673600003,0.023042462906747493
320,0.003375,60,0.01,0.013132806094187611
321,0.003375,60,0.016,0.01464624787276646
322,0.003375,60,0.025600000000000005,0.016394760248795995
323,0.003375,60,0.04096000000000001,0.01770915850153509
324,0.003375,60,0.06553600000000001,0.018827398992934317
325,0.003375,60,0.10485760000000002,0.020255169778499962
326,0.003375,60,0.16777216000000006,0.02155009980471629
327,0.003375,60,0.2684354560000001,0.022112214340353913
328,0.003375,60,0.42949672960000024,0.022509122794529178
329,0.003375,60,0.6871947673600003,0.022956679452140378
330,0.003375,70,0.01,0.013069344016740907
331,0.003375,70,0.016,0.015166814597147816
332,0.003375,70,0.025600000000000005,0.016441001082366367
333,0.003375,70,0.04096000000000001,0.017753413263356912
334,0.003375,70,0.06553600000000001,0.019462522470726155
335,0.003375,70,0.10485760000000002,0.020832084259896907
336,0.003375,70,0.16777216000000006,0.02150084837427679
337,0.003375,70,0.2684354560000001,0.02219414935921723
338,0.003375,70,0.42949672960000024,0.022451454738401017
339,0.003375,70,0.6871947673600003,0.02295170640045742
340,0.003375,80,0.01,0.01427673618748503
341,0.003375,80,0.016,0.015069985164786285
342,0.003375,80,0.025600000000000005,0.01643163303159318
343,0.003375,80,0.04096000000000001,0.018419382707127986
344,0.003375,80,0.06553600000000001,0.018550895295053157
345,0.003375,80,0.10485760000000002,0.020892748292886985
346,0.003375,80,0.16777216000000006,0.02161260370938283
347,0.003375,80,0.2684354560000001,0.022788250221396394
348,0.003375,80,0.42949672960000024,0.022770215880196048
349,0.003375,80,0.6871947673600003,0.022851822511205135
350,0.003375,90,0.01,0.01379744736653454
351,0.003375,90,0.016,0.015557692860657314
352,0.003375,90,0.025600000000000005,0.01717960609579986
353,0.003375,90,0.04096000000000001,0.018208913083346386
354,0.003375,90,0.06553600000000001,0.020278197414470168
355,0.003375,90,0.10485760000000002,0.021339394011587468
356,0.003375,90,0.16777216000000006,0.02163724629384167
357,0.003375,90,0.2684354560000001,0.022266266480931697
358,0.003375,90,0.42949672960000024,0.02272253891207137
359,0.003375,90,0.6871947673600003,0.022934945124500204
360,0.0050625,10,0.01,0.015896044812112483
361,0.0050625,10,0.016,0.016340458168173738
362,0.0050625,10,0.025600000000000005,0.01630497878452517
363,0.0050625,10,0.04096000000000001,0.017723720028715313
364,0.0050625,10,0.06553600000000001,0.01938261625901708
365,0.0050625,10,0.10485760000000002,0.0200522373307426
366,0.0050625,10,0.16777216000000006,0.020316096971619804
367,0.0050625,10,0.2684354560000001,0.02139033686439946
368,0.0050625,10,0.42949672960000024,0.022593678168530733
369,0.0050625,10,0.6871947673600003,0.022532451827571076
370,0.0050625,20,0.01,0.014837244771561533
371,0.0050625,20,0.016,0.01568130614622584
