KERNEL,GAMMA,C,TRAIN-AUC,TRAIN-ACC,TEST-AUC,TEST-ACC
linear,0.01,scale,0.5956262296148156,0.6040024257125531,0.39088085827216257,0.48
linear,0.001,scale,0.5769637253467309,0.5949060036385688,0.39083380387728217,0.5129411764705882
linear,0.01,auto,0.5699401205446444,0.5670103092783505,0.3900240384615384,0.4635294117647059
linear,0.01,auto,0.5990994475494272,0.5530624620982414,0.3896242424242424,0.43764705882352944
linear,0.001,scale,0.5858591226324248,0.5118253486961795,0.3895778620756736,0.411764705882353
linear,0.01,scale,0.6020557364483392,0.5372953305033353,0.3894076451707033,0.4117647058823529
linear,0.01,auto,0.6060146002198983,0.5227410551849607,0.38333249484328624,0.3788235294117648
linear,0.1,scale,0.6341993642450652,0.580351728320194,0.3766900106993483,0.4352941176470588
linear,0.001,auto,0.5926049630519828,0.5166767738023044,0.3723901997283292,0.3929411764705883
linear,0.001,auto,0.5697982335305081,0.5130382049727108,0.3699496149824128,0.40705882352941175
linear,0.01,auto,0.5723782513572644,0.5075803517283202,0.3688088221313814,0.3882352941176471
linear,0.001,scale,0.5846698067303762,0.580351728320194,0.3611387664153985,0.4847058823529412
linear,0.01,scale,0.6170744208074634,0.6052152819890843,0.3517280614421846,0.4305882352941177
linear,0.001,scale,0.5680570182642667,0.5330503335354759,0.3468534189281198,0.4141176470588235
linear,0.01,scale,0.5714950547026221,0.5318374772589447,0.3442515319521447,0.388235294117647
