exp #,mouse name,treatment,tumor load,%MDSC (GR1) blood,% G-MDSC blood (total),% G-MDSC blood (gated on CD11b),% M-MDSC blood (total),% M-MDSC blood (gated on CD11b),% T cell blood (total),MFI zeta blood,spleen weight,cell # spleen,%MDSC (GR1) spleen,% G-MDSC spleen (total),% G-MDSC spleen (gated on CD11b),% M-MDSC spleen (total),% M-MDSC spleen (gated on CD11b),% T cell spleen(total),MFI zeta spleen,cell # BM,%MDSC (GR1) bm,% G-MDSC BM (total),% G-MDSC BM (gated on CD11b),% M-MDSC BM (total),% M-MDSC BM (gated on CD11b),% T cell BM (total),MFI zeta BM,%MDSC (GR1) colon,% G-MDSC colon  (total),% G-MDSC colon  (gated on CD11b),% M-MDSC colon (total),% M-MDSC colon (gated on CD11b),% T cell colon  (total),MFI zeta colon,FITC DEX
exp3,2.3,WT CRC,+,17.08,,30.63,,50.85,31.07,213.54,0.2,119,6.48,7.6,47.28,3.11,25.66,16.98,210.56,22.8,70.69,,75.08,,19.66,1.66,45.07,,,,,,,,2643.5
exp3,2.4,WT CRC,+,19.66,,29.31,,57.24,22.07,202.05,0.14,88,7.1,10.14,51.87,3.94,23.98,22.9,186.97,33.15,70.87,,72.85,,24.64,1.82,46.21,7.95,,,,,,76.16,6779
exp3,4.2,WT CRC,+,29.46,,29.54,,49.32,23.9,178.84,0.28,196,13.29,9.38,50.94,1.45,29.48,21.88,212.94,30.75,67.4,,71.18,,23.12,1.65,54.61,5.01,,,,,,30.29,2388.5
exp3,3.2,WT CRC,+,15.42,,20.89,,54.89,34.81,173.92,0.18,158,9.79,10.44,47.2,3.32,25.29,,,25.8,66.17,,72.14,,20.19,2.45,31.57,6.71,,,,,,64.25,5478.5
exp3,3.4,WT CRC,++,27.56,,37.33,,35.67,29.64,105.02,0.29,239,6.63,5.72,47.04,2.12,24.48,13.55,155.8,24.3,64.09,,60.98,,25.67,2.14,29.78,,,,,,,,1974
exp3,4.5,WT CRC,,17.5,,35.98,,27.56,33.15,197.72,0.21,106,20.18,12.43,56.05,5.96,27.84,14.24,110.71,26.1,77.87,,69.62,,19.89,1.42,21.85,,,,,,,,3825.6
exp3,2.1,WT CRC ABX,,9.1,,40.1,,16.83,31,191.84,0.17,112,4.01,11.21,26.19,6.07,20.94,16.48,176.98,21.75,56.73,,72.17,,22.04,2.5,63.53,,,,,,,,2328.6
exp3,2.2,WT CRC ABX,,5.26,,34.21,,21.52,27.93,185.35,0.19,166,4.46,8.37,24.31,1.6,16.67,14.37,178.81,21.6,59.34,,70.43,,22.6,2.89,82.5,,,,,,,,963
exp3,4.1,WT CRC ABX,,8.95,,40.02,,30.05,29.14,182.35,0.25,124,4.88,9.61,22.27,1.49,23.28,20.01,201.29,26.25,59.59,,63.77,,26.82,4.21,75.87,4.41,,,,,,74.92,1257
exp3,4.3,WT CRC ABX,,8.27,,39.91,,20.03,30.21,202.49,0.24,197,5.3,6.53,33.33,1.55,18.96,23.04,139.5,16.8,55.27,,53.87,,28.35,4.13,53.05,2.49,,,,,,83.31,1525
