,learning_rate,latent_layer_size,klb_coefficient,best_loss
174,0.002,45,0.4,0.020269616676943145
175,0.002,45,0.5,0.020292040205349887
176,0.002,45,0.6,0.020319674136864876
177,0.002,45,0.7,0.02026931212766327
178,0.002,45,0.8,0.02028949417337014
179,0.002,45,0.9,0.020333514596423963
180,0.002,50,0.0,0.0203220478809663
181,0.002,50,0.1,0.020250503164138237
182,0.002,50,0.2,0.02029462974436962
183,0.002,50,0.3,0.020331010331202597
184,0.002,50,0.4,0.020309223745861193
185,0.002,50,0.5,0.020346704190664918
186,0.002,50,0.6,0.020299218866946925
187,0.002,50,0.7,0.02033444216651638
188,0.002,50,0.8,0.020285964882286796
189,0.002,50,0.9,0.020354549380114478
190,0.002,55,0.0,0.02035302315315191
191,0.002,55,0.1,0.020361343439478072
192,0.002,55,0.2,0.02030586326209298
193,0.002,55,0.3,0.020370013522405694
194,0.002,55,0.4,0.020378124974939946
195,0.002,55,0.5,0.020290928165407947
196,0.002,55,0.6,0.020330025331817405
197,0.002,55,0.7,0.020302998758580562
198,0.002,55,0.8,0.020360278387139313
199,0.002,55,0.9,0.02032618627060939
200,0.003,10,0.0,0.020207253685832895
201,0.003,10,0.1,0.020233049879979044
202,0.003,10,0.2,0.02020701874781699
203,0.003,10,0.3,0.020190858492886064
204,0.003,10,0.4,0.020192332511400655
205,0.003,10,0.5,0.020194001441454366
206,0.003,10,0.6,0.02020803855283417
207,0.003,10,0.7,0.02020586320083507
208,0.003,10,0.8,0.02020709183964416
209,0.003,10,0.9,0.020203983696707842
210,0.003,15,0.0,0.020225425706292592
211,0.003,15,0.1,0.020214632479813848
212,0.003,15,0.2,0.020226090493863518
213,0.003,15,0.3,0.02021947220294145
214,0.003,15,0.4,0.020219677556170164
215,0.003,15,0.5,0.020233996593169053
216,0.003,15,0.6,0.02024020765819689
217,0.003,15,0.7,0.020209723145422274
218,0.003,15,0.8,0.02022184768732447
219,0.003,15,0.9,0.02022826236529942
220,0.003,20,0.0,0.02023530702521331
221,0.003,20,0.1,0.02027848689225468
222,0.003,20,0.2,0.020234647458487184
223,0.003,20,0.3,0.020194706255502074
224,0.003,20,0.4,0.020222392395465045
225,0.003,20,0.5,0.020264583782558025
226,0.003,20,0.6,0.020259202831853045
227,0.003,20,0.7,0.020231946541445098
228,0.003,20,0.8,0.02023547583252844
229,0.003,20,0.9,0.020239434973166808
230,0.003,25,0.0,0.020278533879857865
231,0.003,25,0.1,0.020269721093839104
232,0.003,25,0.2,0.02026987423861984
233,0.003,25,0.3,0.02029428342833136
234,0.003,25,0.4,0.020251258446352324
235,0.003,25,0.5,0.020279501476427063
236,0.003,25,0.6,0.020249170108433186
237,0.003,25,0.7,0.020276746610655403
238,0.003,25,0.8,0.020287104766734326
239,0.003,25,0.9,0.02026493531944108
240,0.003,30,0.0,0.020257965491635957
241,0.003,30,0.1,0.02033107472162177
242,0.003,30,0.2,0.020276964145855312
243,0.003,30,0.3,0.020301105332200545
244,0.003,30,0.4,0.020276247149836408
245,0.003,30,0.5,0.020292047166476285
246,0.003,30,0.6,0.0202752986963648
247,0.003,30,0.7,0.0202968555645351
