ID,Component 0,Component 1,Component 2,Component 3,Component 4
3.4.D0.Exp14,-1.0758840986408562,-1.8615783830041905,-1.9915290817511908,0.8599101330962952,-0.7687541817882293
3.5.D0.Exp14,-0.4044620929775331,-1.5714202803654425,-1.2217095641756033,1.4903509887636208,-0.8247511510262959
3.6.D0.Exp14,0.4498431407250056,-2.5866562607215706,-1.6753135640813508,-1.0111979186288018,-1.1112885197698552
3.1.D8.Exp14,-0.5752125201069295,-1.9359502742698138,-1.4236897825069705,1.0454231441269002,-1.1697922047310425
3.2.D8.Exp14,-0.7819319708562041,-2.247254083854798,-1.4522478143648696,2.0244881749008754,-0.4225753495998959
3.3.D8.Exp14,-0.7621832915228066,-2.0428514069849495,-1.175240259623282,1.0617716619512145,-1.4414768715742354
3.4.D8.Exp14,-0.4989129961023417,-2.104969069039881,-1.0623282634297968,0.6412049506839814,-1.2288441607393887
3.5.D8.Exp14,-0.8578843260401879,-2.0180867506780182,-1.354619587561642,2.5859743233149572,-0.5854249386553398
3.6.D8.Exp14,1.3339915864859622,-1.8097871124237173,-1.9168065809638295,-1.717680265771699,-0.6117384531169273
3.1.D27.Exp14,1.4676078080936223,-1.536393475514714,-1.5971228112544074,0.7385196193192698,1.2603345905242624
3.2.D27.Exp14,2.1613728386960203,-0.2719458058175538,-0.48333137095700957,0.13124789349471472,0.7726175257543272
3.4.D27.Exp14,2.244621841760901,-0.8424597422824825,-1.3231049023246548,-0.20583696647610514,1.0715706426021823
3.5.D27.Exp14,1.0857648983894257,-0.9147589923110351,-1.8750528625127898,0.12734704276435468,0.772638782459334
3.6.D27.Exp14,2.612450250768672,-1.7287349011823296,-1.3596480683277796,-0.7022449653774094,2.061681818723908
3.1.D44.Exp14,1.43406080253916,2.340104602446101,-0.7406810710446453,1.8355007533130185,-0.9773992049541753
3.2.D44.Exp14,1.8768997128513956,1.322548852792177,-1.2436988100894768,1.906489438564313,-0.19434181393449268
3.3.D44.Exp14,2.713038024089142,2.385570612530744,-0.043051562844963545,1.6619237814346688,0.15287737047996525
3.4.D44.Exp14,3.5040936984737847,0.2958855520300315,-2.0017239388326256,-0.5596108871667902,1.441125566341525
3.5.D44.Exp14,2.7751572037065135,0.8293638997299717,-2.062888747931467,-0.6189980644413648,0.4806900506883882
3.6.D44.Exp14,1.7622315241933961,2.307333951607646,0.48155796627983366,2.0888947261883293,-0.7115806782878241
3.1.D66.Exp14,3.417433987156292,0.955638224734788,-1.488609107619073,-1.140027276164034,-0.03541909993790165
3.2.D66.Exp14,3.8176002097580137,1.4109544057527483,-1.7534949392134744,-1.1680411019917147,0.2372410315818593
3.3.D66.Exp14,2.990374778392258,1.3500211353903377,-1.5673172370160902,-0.7239493414880938,-0.6028311428715851
3.4.D66.Exp14,3.1592079994588786,1.7345280005023205,-1.097291404310031,-0.3598562640720354,-0.4379903308662145
3.5.D66.Exp14,3.368750973461378,1.3183827771698737,-1.453845330217208,-0.6402898491528163,0.047265759299107125
3.6.D66.Exp14,3.239693735761348,2.255191957476317,-1.25231983345144,-0.8063237009594273,-0.8406088699954097
4.1.D0.Exp14,-1.1741792354154923,-3.097796442672086,2.1727119341819208,-0.3897634182768032,-1.176353631137368
4.3.D0.Exp14,-0.9266330411461762,-3.4169938273624414,2.4154383478797237,-0.7404025736126136,-1.0967928472201576
4.4.D0.Exp14,-1.2714197337617346,-3.722572516261262,2.1788416144484555,-0.5814814774309945,-0.9618555558012796
4.5.D0.Exp14,-1.338979273286546,-3.0127273146474143,2.068564380098586,-0.41101511594358103,-1.0953881173268778
4.1.D8.Exp14,-0.4656441781496349,-2.696066943636943,2.045203003316459,-0.5207670133280262,0.8759617244833291
