Taxonomy level,taxonomy group,normalization 1,normalization 2,PCA,TRAIN-AUC,TEST-AUC
four,pca_anna,relative,No,1,0.8470083086053413,0.6496372549019608
four,pca_anna,relative,No,0,0.9106498516320474,0.735343137254902
five,mean,log,row,1,0.9371721068249256,0.7514509803921569
five,mean,log,row,0,0.9780231454005934,0.7504705882352941
five,mean,log,col,1,0.9181050445103855,0.7637058823529411
five,mean,log,col,0,0.9609827893175076,0.8101274509803921
five,mean,log,both,1,0.9413572700296736,0.8036274509803921
five,mean,log,both,0,0.9780231454005934,0.7504705882352941
five,mean,log,No,1,0.9210682492581602,0.6906960784313725
five,mean,log,No,0,0.9609827893175076,0.8101274509803921
five,mean,relative,z_after_relative,1,0.9216753709198812,0.6518823529411765
five,mean,relative,z_after_relative,0,0.9648451038575668,0.7794117647058822
five,mean,relative,No,1,0.7845246290801186,0.7221470588235294
five,mean,relative,No,0,0.9648451038575668,0.7794117647058822
five,sum,log,row,1,0.9312747774480712,0.7953039215686274
five,sum,log,row,0,0.9757086053412464,0.7372058823529413
five,sum,log,col,1,0.9408504451038576,0.8002549019607842
five,sum,log,col,0,0.9609827893175076,0.8101274509803921
five,sum,log,both,1,0.9473240356083084,0.7455
five,sum,log,both,0,0.9757086053412464,0.7372058823529413
five,sum,log,No,1,0.9176166172106826,0.8250294117647057
five,sum,log,No,0,0.9609827893175076,0.8101274509803921
five,sum,relative,z_after_relative,1,0.8826652818991098,0.7049411764705882
five,sum,relative,z_after_relative,0,0.9547537091988132,0.7776666666666667
five,sum,relative,No,1,0.8454498516320474,0.7074705882352942
five,sum,relative,No,0,0.9547537091988132,0.7776666666666667
five,pca_anna,log,row,1,0.9180433234421363,0.6964411764705882
five,pca_anna,log,row,0,0.95613175074184,0.7556176470588235
five,pca_anna,log,col,1,0.9635056379821958,0.7706470588235294
five,pca_anna,log,col,0,0.9727893175074184,0.8798137254901961
five,pca_anna,log,both,1,0.96666706231454,0.7665882352941177
five,pca_anna,log,both,0,0.9754581602373888,0.8137450980392157
five,pca_anna,log,No,1,0.939192878338279,0.8058725490196078
five,pca_anna,log,No,0,0.9650848664688432,0.8169411764705883
five,pca_anna,relative,z_after_relative,1,0.9548629080118692,0.682186274509804
five,pca_anna,relative,z_after_relative,0,0.9731916913946588,0.8603529411764707
five,pca_anna,relative,No,1,0.8488635014836795,0.6886960784313725
five,pca_anna,relative,No,0,0.9526842729970326,0.8036372549019608
six,mean,log,row,1,0.9686973293768546,0.7642058823529411
six,mean,log,row,0,0.9787667655786352,0.7420980392156863
six,mean,log,col,1,0.9797299703264092,0.7467058823529412
six,mean,log,col,0,0.9695364985163206,0.8144607843137255
six,mean,log,both,1,0.9477323442136498,0.7237352941176469
six,mean,log,both,0,0.9787667655786352,0.7420980392156863
six,mean,log,No,1,0.9361786350148368,0.7271666666666666
six,mean,log,No,0,0.9695364985163206,0.8144607843137255
six,mean,relative,z_after_relative,1,0.980839169139466,0.7839607843137255
six,mean,relative,z_after_relative,0,0.9776011869436202,0.7996960784313726
six,mean,relative,No,1,0.8216943620178042,0.7110882352941177
six,mean,relative,No,0,0.9776011869436202,0.7996960784313726
six,sum,log,row,1,0.9629946587537092,0.8046470588235294
six,sum,log,row,0,0.9763703264094956,0.7645882352941178
six,sum,log,col,1,0.975907418397626,0.7981470588235293
six,sum,log,col,0,0.9695364985163206,0.8144607843137255
six,sum,log,both,1,0.9692676557863502,0.7509117647058823
six,sum,log,both,0,0.9763703264094956,0.7645882352941178
six,sum,log,No,1,0.9534890207715132,0.8020196078431372
six,sum,log,No,0,0.9695364985163206,0.8144607843137255
six,sum,relative,z_after_relative,1,0.9568551928783384,0.7497352941176469
six,sum,relative,z_after_relative,0,0.9739103857566764,0.7721960784313725
six,sum,relative,No,1,0.8805626112759645,0.7280490196078432
six,sum,relative,No,0,0.9739103857566764,0.7721960784313725
six,pca_anna,log,row,1,0.9329916913946588,0.7530588235294118
six,pca_anna,log,row,0,0.9739709198813056,0.8274313725490196
six,pca_anna,log,col,1,0.9755620178041544,0.8322745098039215
six,pca_anna,log,col,0,0.9828456973293768,0.8866862745098039
six,pca_anna,log,both,1,0.9625014836795251,0.7873921568627451
six,pca_anna,log,both,0,0.9843038575667656,0.865549019607843
six,pca_anna,log,No,1,0.9442813056379822,0.8089215686274509
six,pca_anna,log,No,0,0.9737234421364984,0.8249411764705883
six,pca_anna,relative,z_after_relative,1,0.9630094955489614,0.7536960784313724
six,pca_anna,relative,z_after_relative,0,0.982513353115727,0.879235294117647
six,pca_anna,relative,No,1,0.8541881305637983,0.7095588235294119
six,pca_anna,relative,No,0,0.9717584569732938,0.8360392156862746
