ID,k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales_0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales_0,k__Bacteria; p__Cyanobacteria; c__4C0d-2; o__YS2_0,k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Streptophyta_0,k__Bacteria; p__Deferribacteres; c__Deferribacteres; o__Deferribacterales_0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales_0,k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales_0,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales_0,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_0,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales_0,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales_0,k__Bacteria; p__Tenericutes; c__Mollicutes; o__Anaeroplasmatales_0,k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39_0,k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales_0
224,-0.00029377562980210605,-0.18002080196113016,0.0018135122020735595,-0.0007908163030834337,0.03880188174218031,-0.017384402119271086,-0.012102312798729118,-0.0005067094275222532,-0.0009278805681883999,-0.005033116577907288,-0.005822922412207943,-0.006059975510516814,-0.005834245991698413,-0.0013404782751884946,-5.004576349357638e-06
221,-0.00015540360388785794,0.17363454924408445,0.0009845394519302191,-0.0007908163030834337,0.006756922905653495,-0.017218181563966525,-0.014648744429501568,-5.2794286741952986e-05,-0.004593727413529855,-0.005516315324203761,-0.0072920232078724475,-0.00280933859777052,-0.005834245991698413,-0.0012906917937501486,-0.0010680311100601813
225,-0.0002296925830332631,-0.05234410437110397,0.0005544656867062635,0.0006736719832701443,-0.027282939750887622,0.009416420351567274,0.002843351906296347,0.000426265591975913,-0.0043695232863946495,-0.005911778066413977,-0.00606606196860356,0.004301401801245578,-0.005834245991698413,-0.0003189177112144263,-0.0010680311100601813
124,-0.00025287373492861544,0.37822500922508856,-0.0008167157467878512,0.0007901599880249599,-0.03074391832663178,-0.0040072921879626185,-0.01086484351227004,-0.0006429786216005665,-0.0045167254119172495,-0.007165006983146965,-0.006763243261298293,0.025115411020729204,0.17795424784965236,-0.001388161924790906,-0.0010680311100601813
207,-0.000648117807705714,0.290238948439589,-0.0027929361106733435,0.0009154614057221027,0.0025331282448677467,0.01780636085899823,-0.011881876291948479,-0.00035571161085545035,-0.00453472158892258,-0.006498906345046629,0.01832770123597567,-0.0006976097089646912,0.008839742304029202,-0.0007596393722846824,0.0023445243075508916
238,-0.000648117807705714,0.03970275567186207,-0.0027929361106733435,0.0002526319801863117,-0.03505361488121772,0.004062471528849075,-0.012638847645485427,-0.0008295330377237159,-0.004578910217291634,-0.005713432431648495,0.009998334992610032,-0.010885577527918012,-0.005834245991698413,0.001555628508895181,0.013540244855716253
218,-0.0004942668445439678,-0.1511098103964796,0.0048996120474139575,0.0012092462180192643,-0.03894867522608202,0.01568566221593256,-0.012766175090820741,-0.001038222694377665,-0.00439205516424004,-0.005785101255003529,-0.0068720187374973676,-0.011367822401406559,-0.005834245991698413,0.0005243584498581862,-0.0010680311100601813
113,0.0005614026499884886,-0.16755170612020906,-0.0021881758818262423,1.5530668712701243e-05,-0.026991837758538473,-0.0005579209035728238,-0.005577279033942694,-0.001038222694377665,-0.004648473436176284,-0.007162448905408807,-0.006134694793088286,-0.009837144870325125,-0.0054310725058003455,0.0009380150322439514,-0.0010680311100601813
246,-0.000648117807705714,-0.0018271690942942862,-0.0022362325622276003,-0.0005124645288605623,0.13258796906325934,-0.01622747644358153,-0.011494985027628638,-0.0007598709201547935,-0.004555689511435325,-0.0057691605577823695,-0.005165457737400875,0.007602350085500483,-0.004164135346361184,-0.0006699989006765182,-0.0010680311100601813
176,-0.00020708688139853086,-0.3310453229849368,-0.0022048948755970994,-0.0006438059943143728,-0.04195057481234474,-0.018155085526152095,-0.009580134289438472,-0.0008912123856086039,-0.0037664115835619174,-0.007159473351924481,-0.0004514497324074771,-0.01011209283766675,-0.003482081051393436,-0.0013423750712608213,-0.0010680311100601813
216,-0.000648117807705714,0.3787033830769604,-0.0027929361106733435,-0.0005057312760687983,-0.04514338680606679,-0.019305695690255774,-0.012517100586401198,-0.00046805264034839394,0.07321141505293198,0.7313031789926887,-0.0031975583627189977,-0.008339947269034819,-0.005264075937669142,-0.0012607501147078393,-0.0010680311100601813
