Taxonomy level,taxonomy group,normalization 1,normalization 2,Dim Red,TRAIN-AUC,TEST-AUC
four,sub PCA,log,No,ICA,0.9789473684210528,0.6409999999999999
four,sub PCA,log,No,PCA,0.9638514254385964,0.6922916666666667
four,sub PCA,log,No,None,0.9854934210526316,0.7254166666666667
four,sub PCA,log,col,ICA,0.9809813596491228,0.6251666666666666
four,sub PCA,log,col,PCA,0.9792927631578948,0.5982916666666667
four,sub PCA,log,col,None,0.9921326754385964,0.6985
four,sub PCA,log,row,ICA,0.9674259868421052,0.6584166666666667
four,sub PCA,log,row,PCA,0.9790734649122808,0.6908333333333334
four,sub PCA,log,row,None,0.983810307017544,0.6831666666666667
four,sub PCA,log,both,ICA,0.9783552631578948,0.6125
four,sub PCA,log,both,PCA,0.9831578947368421,0.6742500000000001
four,sub PCA,log,both,None,0.9937774122807016,0.6730833333333334
four,sub PCA,relative,No,ICA,0.9245120614035088,0.6739166666666666
four,sub PCA,relative,No,PCA,0.9241447368421052,0.6591250000000001
four,sub PCA,relative,No,None,0.9702905701754384,0.7476666666666667
four,sub PCA,relative,z_after_relative,ICA,0.9938925438596492,0.5108333333333334
four,sub PCA,relative,z_after_relative,PCA,0.9936129385964912,0.6090833333333333
four,sub PCA,relative,z_after_relative,None,0.9879111842105264,0.6572500000000001
five,mean,log,No,ICA,0.987127192982456,0.5724166666666666
five,mean,log,No,PCA,0.9862335526315792,0.6629166666666667
five,mean,log,No,None,0.9853782894736842,0.714125
five,mean,log,col,ICA,0.9827302631578948,0.6337083333333333
five,mean,log,col,PCA,0.9894901315789474,0.619625
five,mean,log,col,None,0.9853782894736842,0.714125
five,mean,log,row,ICA,0.9772423245614036,0.6224999999999999
five,mean,log,row,PCA,0.9869901315789474,0.60825
five,mean,log,row,None,0.97953399122807,0.7030000000000001
five,mean,log,both,ICA,0.9758799342105264,0.5735
five,mean,log,both,PCA,0.9767598684210528,0.5719166666666667
five,mean,log,both,None,0.97953399122807,0.7030000000000001
five,mean,relative,No,ICA,0.9042927631578948,0.6086666666666667
five,mean,relative,No,PCA,0.9041145833333334,0.6009583333333334
five,mean,relative,No,None,0.9694435307017544,0.7470833333333333
five,mean,relative,z_after_relative,ICA,0.9919188596491229,0.5543333333333333
five,mean,relative,z_after_relative,PCA,0.9807730263157894,0.5116666666666667
five,mean,relative,z_after_relative,None,0.9694435307017544,0.7470833333333333
five,sum,log,No,ICA,0.9868201754385963,0.6258333333333334
five,sum,log,No,PCA,0.9829495614035088,0.6825833333333334
five,sum,log,No,None,0.9853782894736842,0.7167083333333333
five,sum,log,col,ICA,0.9842050438596492,0.5617500000000001
five,sum,log,col,PCA,0.973983004385965,0.613375
five,sum,log,col,None,0.9853782894736842,0.7167083333333333
five,sum,log,row,ICA,0.9888980263157896,0.6155000000000002
five,sum,log,row,PCA,0.9921546052631579,0.6366666666666667
five,sum,log,row,None,0.9846107456140348,0.6869166666666667
five,sum,log,both,ICA,0.9863267543859648,0.6699583333333334
five,sum,log,both,PCA,0.992094298245614,0.6754166666666667
five,sum,log,both,None,0.9846107456140348,0.6869166666666667
five,sum,relative,No,ICA,0.8742406798245614,0.6247083333333332
five,sum,relative,No,PCA,0.8822724780701755,0.6104166666666666
five,sum,relative,No,None,0.9847807017543859,0.7227916666666667
five,sum,relative,z_after_relative,ICA,0.9893421052631579,0.5983333333333334
five,sum,relative,z_after_relative,PCA,0.9892626096491228,0.5489999999999999
five,sum,relative,z_after_relative,None,0.984780701754386,0.7227916666666667
five,sub PCA,log,No,ICA,0.969342105263158,0.6178333333333333
five,sub PCA,log,No,PCA,0.979720394736842,0.550875
five,sub PCA,log,No,None,0.993843201754386,0.6994166666666666
five,sub PCA,log,col,ICA,0.9933059210526316,0.6383333333333333
five,sub PCA,log,col,PCA,0.9804002192982456,0.6425833333333333
five,sub PCA,log,col,None,0.9933333333333332,0.7316666666666667
five,sub PCA,log,row,ICA,0.9769106359649125,0.5595833333333333
five,sub PCA,log,row,PCA,0.9787143640350876,0.6091666666666666
five,sub PCA,log,row,None,0.9906798245614036,0.6873333333333334
five,sub PCA,log,both,ICA,0.9836074561403508,0.705
five,sub PCA,log,both,PCA,0.9888925438596492,0.7155833333333333
five,sub PCA,log,both,None,0.995,0.6478333333333335
five,sub PCA,relative,No,ICA,0.9232785087719301,0.6705416666666667
five,sub PCA,relative,No,PCA,0.9217214912280702,0.6615416666666666
five,sub PCA,relative,No,None,0.9811842105263158,0.6930000000000001
five,sub PCA,relative,z_after_relative,ICA,0.9825822368421052,0.5984166666666667
five,sub PCA,relative,z_after_relative,PCA,0.9829605263157896,0.5884999999999999
five,sub PCA,relative,z_after_relative,None,0.9895723684210526,0.7213333333333334
six,mean,log,No,ICA,0.9958004385964913,0.47425
six,mean,log,No,PCA,0.9927741228070176,0.5081666666666667
six,mean,log,No,None,0.9949561403508772,0.7144166666666667
six,mean,log,col,ICA,0.9964473684210524,0.5541666666666667
six,mean,log,col,PCA,0.9987664473684208,0.5877499999999999
six,mean,log,col,None,0.9949561403508772,0.7144166666666667
six,mean,log,row,ICA,0.9935197368421052,0.5873333333333333
six,mean,log,row,PCA,0.9831030701754384,0.6932083333333333
six,mean,log,row,None,0.995169956140351,0.7570833333333333
