ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272
d14.20,0,2,0,0,0,12,101,0,274,0,0,0,17,4,0,15,11,90,2,26,0,67,0,0,0,0,0,4,22,0,0,1,140,19,0,0,0,0,9,0,0,0,44,321,0,0,11,0,0,0,0,14,0,0,4,38,41,0,2,735,0,2235,0,11,0,0,0,0,0,0,14,16,0,0,2,3,53,61,12,13,4,278,0,0,9,0,0,0,8,0,71,0,0,0,0,0,2,0,0,0,46,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,299,0,410,175,2,3,0,81,0,0,0,0,0,0,0,3,0,0,0,0,115,285,0,0,0,24,0,0,0,0,11,0,15,26,0,0,124,29,0,6,28,1276,0,203,0,0,0,18,0,27,23,122,0,62,236,0,0,0,10,0,0,0,17,0,0,0,151,0,0,3,0,0,181,1,0,0,0,0,12,0,0,0,0,0,506,6,0,103,0,0,0,0,17,2,0,34,23,0,239,6,0,0,0,0,328,0,0,7,0,54,63,38,0,0,141,0,0,31,4,0,0,81,0,0,19,0,0,0,0,0,31,0,0,4,0,237,0,0,0,54,10,0,0,0,0,13,0
d14.22,0,16,0,0,3,8,18,0,74,0,0,1,3,0,0,3,19,163,24,23,2,110,0,0,2,8,0,44,1,0,0,0,23,12,0,0,11,9,5,0,0,0,31,249,0,0,13,0,4,25,0,4,0,0,0,13,6,0,29,248,162,1414,4,15,5,0,6,2,0,162,75,13,0,0,5,0,42,12,9,8,8,60,0,0,2,0,0,3,24,0,10,0,0,0,0,82,2,0,0,154,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,7,0,510,0,1425,94,4,4,0,0,26,0,1,0,0,0,4,2,0,0,0,0,571,323,0,0,0,0,0,2,0,0,1,0,5,4,0,0,61,1,79,10,0,1014,0,131,1,0,0,40,0,3,3,152,1,14,58,0,0,0,0,0,0,0,15,0,0,0,140,0,1,1,0,0,337,0,0,0,0,0,4,0,0,0,2,0,231,14,0,42,0,0,0,1,22,1,0,42,1,0,292,4,0,3,0,0,13,0,2,0,108,39,7,49,0,0,124,0,0,29,6,0,0,59,35,0,10,441,573,0,0,0,18,0,1,0,0,68,0,2,0,58,4,51,0,0,0,0,1
d14.23,0,3,0,0,7,27,83,0,135,0,0,0,19,0,0,6,45,41,104,46,0,35,0,0,0,10,0,37,5,0,0,7,59,11,0,0,17,10,9,0,0,0,116,1,0,0,31,0,7,22,0,27,0,0,8,24,13,71,15,866,66,1027,3,39,7,0,18,5,0,151,38,30,0,0,6,3,19,39,13,0,4,141,0,0,9,0,0,6,21,0,23,0,0,0,0,97,3,0,15,260,2,0,0,0,0,0,43,4,6,0,0,0,0,0,0,5,6,0,0,0,0,3,1,3,0,0,93,1,306,168,0,11,0,0,10,0,0,0,0,0,0,0,0,0,1,0,12,198,0,0,0,0,0,4,8,0,3,10,18,27,0,0,21,5,44,21,0,614,0,74,0,0,0,58,0,5,21,50,9,45,35,0,0,0,14,0,0,0,4,0,0,9,50,0,7,0,0,0,108,0,0,0,2,0,3,0,0,0,7,0,178,7,0,100,0,3,0,11,18,4,0,76,0,0,185,28,0,16,0,0,71,0,0,0,130,22,39,50,5,0,0,0,0,52,6,0,0,43,92,0,1,1376,1864,0,0,0,51,0,0,0,0,254,0,5,0,93,7,2,0,0,0,0,2
d14.24,0,3,0,0,0,2,76,0,396,0,0,0,0,0,0,12,22,106,513,63,14,47,0,0,0,0,0,0,3,0,0,4,33,13,0,0,0,9,41,7,0,0,250,42,0,52,53,0,0,18,0,27,0,0,0,20,18,0,0,472,75,1198,13,2,24,0,5,0,0,472,27,9,0,0,0,1,21,128,41,19,11,601,0,0,11,0,0,5,0,0,25,0,0,0,0,0,1,0,0,2,7,48,0,14,0,0,6,6,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,271,0,819,30,2,20,0,5,0,0,0,9,0,0,0,1,0,0,0,0,105,241,0,0,0,86,0,14,2,1,7,0,3,0,0,0,7,26,0,42,15,1218,0,208,0,11,0,3,0,55,12,129,0,58,58,0,0,0,0,0,0,0,1,0,0,6,93,1,0,1,0,0,134,0,0,0,0,0,0,0,65,0,12,0,220,8,0,0,0,0,0,13,6,13,0,2,8,0,237,67,0,0,63,0,204,44,0,0,294,33,29,17,0,0,17,0,0,76,5,0,0,111,0,0,3,0,15,0,0,0,0,0,0,2,0,149,0,0,0,3,6,0,0,0,0,7,302
d14.25,0,6,0,0,5,0,0,0,457,0,0,0,0,0,0,59,35,102,328,68,3,48,0,4,0,10,0,0,5,0,0,70,124,36,5,0,34,0,0,8,0,0,162,0,0,0,11,0,0,14,0,16,0,0,0,12,0,0,3,1515,0,895,0,23,0,0,0,13,0,4,9,251,0,0,0,0,38,86,136,24,6,397,31,0,49,0,0,1,20,0,0,7,0,0,0,0,1,0,6,0,268,0,0,15,0,0,0,5,28,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,226,0,471,35,0,4,0,14,0,0,0,0,0,0,11,1,0,0,0,3,77,135,0,0,0,74,0,16,4,15,10,5,135,0,0,0,33,8,462,7,9,904,0,309,0,27,0,18,0,57,23,129,0,71,66,0,0,0,0,0,0,0,0,0,0,17,89,1,0,0,0,0,149,3,0,0,0,0,39,0,0,0,0,0,152,20,0,19,0,0,0,6,19,13,0,25,0,0,112,110,1,0,74,0,53,0,0,17,0,26,10,23,0,0,0,0,0,165,8,0,0,124,0,0,0,0,8,0,0,0,24,0,5,0,0,401,0,0,0,14,0,0,0,0,0,71,238
d14.26,0,0,0,0,0,0,38,0,552,0,0,0,0,0,0,14,21,68,297,27,7,55,0,0,0,25,0,0,4,0,0,0,10,7,0,0,27,18,42,0,0,0,282,0,0,0,23,0,0,33,0,0,0,0,0,15,0,0,5,651,423,714,32,0,39,13,0,0,0,402,0,27,0,0,0,4,0,109,19,35,6,507,0,0,6,0,0,7,33,0,26,0,0,0,0,0,0,0,0,0,208,11,0,27,0,0,2,0,0,0,0,1,0,0,0,23,0,2,0,0,51,0,0,0,0,0,203,10,663,315,18,14,0,11,28,0,384,11,0,0,0,2,0,0,0,0,115,122,3,0,0,60,4,0,0,0,7,0,1,29,0,0,1,50,0,19,8,1183,0,364,0,0,0,0,0,26,23,62,0,31,60,0,0,0,0,0,0,0,8,0,0,0,92,1,0,2,0,0,187,2,0,0,0,0,0,0,20,0,0,0,157,35,0,0,0,0,0,20,34,22,0,0,14,0,149,111,0,0,31,0,127,47,0,0,222,45,20,135,0,0,0,0,0,103,0,0,0,137,0,0,0,0,13,0,0,0,1,0,0,3,0,172,0,10,0,0,15,0,0,0,0,62,128
d14.27,0,1,0,0,0,0,64,0,260,0,0,0,0,0,0,9,13,41,17,46,5,33,0,0,0,9,0,8,2,0,0,0,12,3,0,0,23,10,5,0,0,0,98,0,0,0,13,0,0,10,0,0,0,0,7,27,36,0,0,925,5,379,15,12,10,4,0,0,0,22,0,26,0,42,10,17,19,0,0,27,6,9,23,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,167,0,0,0,0,0,6,4,34,0,1,0,0,0,0,11,0,0,0,0,14,0,0,8,0,0,105,0,287,118,3,14,0,66,0,0,0,0,23,0,0,5,0,9,0,0,34,173,10,0,0,0,0,0,0,0,12,0,4,0,0,0,0,3,165,68,74,540,0,191,0,17,0,0,1,20,24,88,0,20,30,0,0,0,18,0,0,0,7,0,0,0,71,0,0,0,0,0,99,1,0,0,0,0,0,0,48,0,10,0,157,4,0,6,0,0,0,16,15,13,0,29,29,0,109,90,0,0,0,0,26,16,0,12,18,35,16,17,0,0,0,0,34,50,4,0,0,65,0,0,1,2091,2751,0,0,0,6,0,0,2,0,256,0,7,0,27,6,0,0,0,0,67,9
d14.28,0,8,0,0,0,11,43,0,230,0,0,0,31,0,0,21,7,96,138,35,7,75,0,0,0,24,0,66,4,0,11,0,39,8,0,0,10,12,10,0,0,0,143,771,0,0,11,0,0,5,0,12,0,0,0,29,20,13,0,302,201,1733,4,0,6,25,4,0,0,290,5,23,0,0,13,0,37,9,9,23,6,35,0,0,2,0,0,8,41,0,17,0,0,0,0,0,0,0,0,0,102,0,0,3,0,0,11,7,0,0,0,0,2,0,0,6,0,0,0,0,35,0,0,0,0,0,270,0,884,241,15,7,0,16,73,0,0,0,0,0,0,1,0,0,0,0,165,284,0,0,0,23,0,2,0,2,0,0,75,12,0,0,0,38,0,6,0,1187,0,155,0,3,0,51,0,9,4,99,0,14,100,0,0,0,15,0,0,0,10,0,9,0,119,1,15,1,0,0,244,4,0,0,14,0,0,0,13,5,6,0,333,22,0,0,9,0,0,9,24,10,0,0,3,0,248,41,0,9,18,0,35,30,0,3,193,38,4,59,0,0,373,0,8,57,11,0,0,75,0,0,0,0,16,0,0,0,5,0,0,2,0,96,0,5,0,28,2,0,0,0,0,34,59
d14.29,0,57,0,0,0,20,63,0,247,0,0,2,32,0,0,19,40,52,114,21,0,34,0,0,0,13,0,78,2,0,0,0,8,11,0,0,117,65,22,0,0,0,166,310,0,0,33,0,2,43,0,57,0,0,0,22,14,41,0,892,6,735,8,50,17,0,19,4,0,5,2,121,0,137,9,2,26,61,18,26,3,265,0,0,8,0,0,4,39,0,41,0,2,0,2,344,9,0,4,970,0,26,0,6,0,0,31,8,27,0,0,0,0,0,0,83,0,0,0,0,19,8,0,0,0,0,148,0,176,153,6,5,0,100,0,0,0,0,0,0,16,1,0,0,0,0,82,125,0,0,0,10,0,6,10,0,0,3,6,52,0,0,0,25,0,20,0,573,0,553,0,0,0,88,0,17,11,88,0,90,150,0,0,0,55,0,0,0,10,0,0,3,45,0,12,0,0,0,88,5,0,0,0,0,3,0,33,4,20,0,140,12,0,274,0,0,0,25,26,24,0,95,13,0,109,44,0,30,17,0,237,0,0,228,0,15,50,42,7,0,129,0,5,93,10,0,0,220,107,0,3,0,5,0,0,0,7,0,4,3,0,10,0,44,0,10,3,0,0,264,0,0,61
d14.3,0,1,0,0,0,0,33,0,416,0,0,0,0,4,0,9,17,172,195,9,6,124,0,0,0,28,0,0,2,0,0,5,25,11,0,0,20,10,5,0,0,0,149,0,0,25,5,0,0,5,0,11,0,0,0,14,0,0,0,421,136,1225,4,1,23,0,0,0,0,310,46,10,129,0,0,0,44,87,20,42,11,471,0,0,8,14,0,7,59,0,8,0,0,0,0,0,0,0,0,0,147,10,0,8,0,0,2,4,10,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,394,0,821,136,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,501,0,0,0,48,0,14,0,2,0,0,0,0,0,0,5,35,0,18,0,805,0,222,0,4,0,0,0,31,4,102,0,50,53,0,0,0,0,0,0,0,15,0,0,0,87,0,0,0,0,0,378,8,0,0,0,0,0,0,12,0,8,0,381,12,0,0,0,1,0,5,40,7,0,6,0,0,398,79,0,0,47,0,73,34,0,268,194,21,16,67,0,0,0,0,0,67,17,0,0,91,0,0,0,11,0,0,0,0,4,0,0,1,0,133,9,0,0,5,13,0,0,0,0,40,153
