Time Point,X,y
0,"[ 0.0679329   0.0679329   0.0679329   0.61215397 -0.00527677 -0.2446992
 -1.62213391  0.58490202 -0.95298517  0.36850927  2.27695633  0.10617489
  0.10617489  2.27688055  1.37374677  1.70198423  0.28804453  0.28804453
  0.08985421 -0.17802626  1.69909329  0.78943715 -0.20102597 -0.41478824
  0.14986312 -1.62213391  0.14986312  0.68257608  0.65898257  0.27518112
 -0.81370534 -0.98540776 -0.02398419 -0.02398419 -0.49024138 -0.61529344
 -1.62213391 -1.62213391 -1.62213391 -1.62213391]",[-0.06367746693654874]
0,"[-0.13712865 -0.13712865 -0.13712865  0.92095143  0.86842714  0.57030748
 -2.75611121  0.30168079 -0.30292339 -0.06577033  1.97861777 -0.85855946
 -0.85855946  1.97856477  0.87190295  1.45709503  0.33032696  0.33032696
 -0.35132635 -0.68012543  1.44408051  0.3294078  -0.35132635 -0.61493237
 -1.32626506 -1.45619116 -2.75611121  0.84733996  0.50917407  0.0384284
  0.64749797  0.42197417  0.01912046  0.01912046 -0.33184863 -0.51253471
 -0.97149259  0.26457216  0.26457216  0.19197427]",[0.15271083059612045]
0,"[-0.02532896 -0.02532896 -0.02532896  0.67050514  0.54235441  0.23582242
 -2.53159855  0.28743665  0.05158328 -0.65308521  2.34293696 -0.52606831
 -0.52606831  2.34287392  1.20486698  1.85868892  0.43555833  0.43555833
 -0.19117922 -0.53142067  1.85151178  0.70525407  0.00840714 -0.26271239
 -0.49425417 -1.57075815 -0.51782672  0.88968437  0.87858824  0.39459577
 -0.57062764 -0.79922913 -1.216042   -1.216042   -0.45831926 -1.23865816
 -0.50978326 -0.39068127 -0.39068127 -0.46520411]",[-0.349302253151451]
0,"[-0.15561642 -0.15561642 -0.15561642  0.73208521  0.69491168  0.40405203
 -2.23536756  0.03325154 -0.29761884 -0.52200296  2.42230121 -0.4692014
 -0.4692014   2.42226491  1.34273648  1.75103727  0.27948519  0.27948519
 -0.11727792 -0.43466762  1.74657093  0.65925179 -0.32507973 -0.5795843
 -1.47428104 -1.58886585 -2.23536756  0.64417317  0.45309    -0.00594266
  0.333285    0.11337868 -0.49450545 -0.49450545 -0.3174496  -0.88240263
 -0.40352524 -0.14231569 -0.14231569 -0.21303241]",[0.1450404014019906]
1,"[-0.09693714 -0.09693714 -0.09693714  1.01348052  1.00297123  0.77722805
 -0.74580583  0.23201748 -1.79507866  0.03248589  1.73545035 -0.12312049
 -0.12312049  1.73532102  0.89811064  1.53675419  0.2700461   0.2700461
  0.18307099 -0.06579862  1.53422055  0.69093859 -0.47770098 -0.6758602
 -0.88097055 -0.97779342 -1.79507866  1.09567895  1.04585768  0.68971349
  0.65046317  0.47985461 -1.04565934 -1.04565934  0.12293229  0.00797706
 -0.57692496 -1.79507866 -1.79507866 -1.79507866]",[-0.12320403913028]
1,"[ 0.22710127  0.22710127  0.22710127  0.34824815 -1.01866958 -1.62577796
 -1.19046998  0.34208803 -0.3403387  -0.02552816  2.39291479 -0.65813241
 -0.65813241  2.39287096  1.23406219  1.78593879  0.30048677  0.30048677
 -0.40540486 -0.7449451   1.77757949  0.61038419 -0.28854317 -0.56433856
  0.12296223 -0.01512347 -2.5910738   0.81975861  0.68284306  0.18994183
  0.3938882   0.15764795 -0.93005957 -0.93005957 -0.28854317 -0.43449309
 -1.55378346 -0.06467116 -0.06467116 -0.14064647]",[-0.4281970580144794]
1,"[ 0.51005222  0.51005222  0.51005222  0.44393793  0.38587853 -0.73494356
  0.37941329  0.05527166 -0.36028949 -0.24438243  1.96422036 -0.17778079
 -0.17778079  1.96417621  1.12010301  1.78041426  0.71779864  0.71779864
  0.56840108  0.31770498  1.77449634  0.92430033  0.16952076 -0.03196675
 -0.03484746 -1.61008221 -0.03484746  0.2570239  -1.61008221 -1.61008221
  0.14339458 -0.02841226 -1.01499534 -1.01499534  0.00520227 -0.09339631
 -1.61008221 -1.61008221 -1.61008221 -1.61008221]",[0.15207194524232764]
1,"[ 0.12637091  0.12637091  0.12637091  0.73826968  0.6534331   0.36120256
 -1.09344937  0.27814416  0.04375137 -0.54809469  2.32781413 -0.32129642
 -0.32129642  2.32774028  1.24828176  1.49271614  0.35678337  0.35678337
  0.10429325 -0.216515    1.47862464  0.39137466 -0.36204157 -0.61863625
 -1.58028263 -1.69485973 -2.34131793  0.24963365 -0.25721125 -0.71387279
  0.11552402 -0.10398213 -1.25145153 -1.25145153 -0.38791139 -0.52306331
 -1.58028263  0.77811664  0.77811664  0.70730042]",[0.029507498639834484]
1,"[ 0.2882438   0.2882438   0.2882438   1.42729844  1.42016062  1.11339133
  0.10623747  0.16739144 -0.03760049 -1.00423679  2.03266313 -0.54958987
 -0.54958987  2.03253765  0.91628707  1.22990855 -0.29028844 -0.29028844
 -0.22170173 -0.55227497  1.2185569   0.09421884 -1.13554029 -1.41121474
 -0.23432007 -2.73555117 -0.23432007  1.08064652  1.07524857  0.60039543
 -0.43988284 -0.66706896 -1.38638672 -1.38638672 -0.5994117  -1.11139749
 -0.72260627  0.08445189  0.08445189  0.01108049]",[-0.30456815652684677]
1,"[-0.31252778 -0.31252778 -0.31252778  1.11284574  1.10312195  0.84529063
 -1.02200275  0.16291034 -0.09885575 -0.39590854  2.06181675 -0.53580728
 -0.53580728  2.06178948  1.10528892  1.31239415  0.08102403  0.08102403
  0.07829499 -0.20595312  1.30460562  0.34121449 -0.38069913 -0.61139567
 -2.06635388 -2.06635388 -2.06635388  0.81379534  0.78231048  0.37543643
  0.16593864 -0.02889163 -1.21015656 -1.21015656 -0.65536689 -0.85467712
 -1.02200275  0.72599141  0.72599141  0.66324118]",[-0.09624555288275105]
