ID,Unassigned;p__;c__;o___0,k__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales_0,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales_0,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales_1,k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales_0,k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales_1,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales_0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales_1,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales_2,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales_3,k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Streptophyta_0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales_0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales_0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales_1,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales_2,k__Bacteria; p__Firmicutes; c__Bacilli; o__Turicibacterales_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales_1,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales_2,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales_3,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales_4,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales_5,k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales_0,k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales_1,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales_0,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_0,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales_0,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales_0,k__Bacteria; p__Tenericutes; c__Mollicutes; o__Anaeroplasmatales_0,k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39_0,k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales_0
d0.19,-0.3388972842017011,5.94757831713557,6.822003725503268,-0.646968099396969,-1.1829945594365296,9.333331305768366,5.811572586455538,-0.06055987722266903,0.7827922882882807,2.8853211260606457,-0.19298647431771476,0.0922788123264524,0.5258504091834041,1.5834467301246462,2.4653724010602254,-0.4299882780885969,-1.8962172152801273,6.835174253028323,-1.1300853664300048,-0.531461450916927,-0.49123565128910784,5.203102562867873,0.6962155823546246,-0.4289428133910078,-0.13083645494613536,-0.37602715802498937,-0.15979550437376958,-0.2932702976818528,0.21714510381608115,-0.18289809946017746,10.003900879860161
d28.7,-0.3388972842017011,-0.17962528347100146,-0.10067280416145928,-0.4325594021123647,-0.5046253962361302,0.07832388864187342,-0.1702995849034097,-0.8077566992794003,1.8251827761843644,0.5049869517058911,0.495292511174442,0.0922788123264524,1.3552942247117947,0.816931965675688,0.5960407138496954,-0.4299882780885969,5.807028097813076,1.7046132339456481,1.3512346639905597,5.655904717006165,-0.27901057275376867,1.317233813508431,-0.21148781272612505,-0.5308564453527564,-0.13083645494613536,-0.018021218919700484,-0.15979550437376958,-0.2932702976818528,-0.44363222502707306,-0.18289809946017746,-0.23238984157466702
d24.34,-0.3388972842017011,-0.17962528347100146,-0.23661825111439796,-0.5013330561367731,0.7081505296275378,-0.17526613771511088,-0.1021662826861372,-0.31663625235687587,0.08329283887686278,-1.0888448924169878,-0.42823180546761547,0.0922788123264524,0.9720909292603629,1.120598282950079,-1.3290449717846322,-0.4299882780885969,-1.03458726890793,-0.9078538824234276,0.0478144405919672,-0.6391104578178519,-0.38514850831328995,-1.9961942537571387,0.20373251773186066,-0.6422267662292737,-0.13083645494613536,-0.3547492539990748,-0.15979550437376958,-0.2932702976818528,-0.45275233803480536,-0.18289809946017746,-0.23238984157466702
d35.32,-0.3388972842017011,-0.17962528347100146,-0.23661825111439796,-0.5013330561367731,-0.15224038540052587,-0.2913699734277755,-0.43037658812794166,-0.7560893331107656,1.5080302398709091,-0.07262346651937937,0.04099493047297979,0.0922788123264524,0.09590268282134157,-0.1412108297166928,0.2811642796728694,-0.4299882780885969,6.037725685274158,1.2141156805447602,6.616689488900025,-2.6662068590403925,0.2304020655058,-5.053047246743932,0.20373251773186066,-0.6422267662292737,-0.13083645494613536,0.021256744768404928,-0.15979550437376958,-0.2932702976818528,-0.44205651576335336,-0.18289809946017746,-0.23238984157466702
d4.19,-0.3388972842017011,-0.17962528347100146,-0.3612596753857937,0.35187428955765554,-0.18835061431896555,-0.1574132525970884,-0.5327099201569102,0.6266280143338341,0.26638747351358827,1.4366292627450992,-0.11899009874312676,0.0922788123264524,0.8208211967721954,-0.6235374745856784,0.603400535306375,-0.4299882780885969,-1.8142552631101536,-0.9066763175653535,-0.30342174758291834,0.0002473223705149204,-0.32820513697412157,-0.0733368539603672,1.0026856938248898,0.1496043766454649,-0.13083645494613536,-0.12600329833097823,-0.15979550437376958,-0.2932702976818528,2.075114319541314,-0.18289809946017746,-0.23238984157466702
d35.10,-0.3388972842017011,-0.17962528347100146,-0.8657189422687198,3.1688612710504414,1.0316093697464637,0.6019276025188443,-0.41183659037976633,-0.7083024066241103,1.478210538575792,0.7205620635154016,-0.7469844122929507,0.0922788123264524,0.6351362690803802,-0.42711146459696436,0.5910229832101134,-0.4299882780885969,-2.254132403782245,-0.959358790301988,-0.4720717755766258,0.09525821863903504,-0.3339610410952431,0.12975438782546228,2.253173067334259,0.31909240434933106,-0.13083645494613536,-0.4076450646039918,-0.15979550437376958,-0.2932702976818528,-0.461529066790312,-0.18289809946017746,-0.23238984157466702
d28.21,-0.3388972842017011,-0.17962528347100146,0.8666494199460807,-0.5876215130644951,0.1019836266373166,-0.3074118440649804,-0.3755440286909717,-0.5724203453422766,1.044172619203697,0.6020590766029457,-0.24507039280644938,0.0922788123264524,0.07062044008315489,-0.48504585566014885,-0.08368239214109205,-0.4299882780885969,-1.3693874484301396,-0.3674173879438182,-0.3186096335240873,0.4807757771416938,-0.12363014522226744,0.07285573172179158,-1.2386288074321947,-0.25535687614894315,-0.13083645494613536,-0.4641387338023974,-0.15979550437376958,-0.2932702976818528,3.385159878099261,5.320745998437268,-0.23238984157466702
d38.28,-0.3388972842017011,-0.17962528347100146,1.3805919568792502,-0.6278178404152771,0.40956528967274913,-0.32682065289164725,-0.5795168694576687,0.32989317537114515,0.9075043917778407,0.29362453235516295,0.5193474534973117,0.0922788123264524,-0.3269254744770411,-0.41283661575689073,-0.4646883319537962,-0.3486384286871223,-1.6266913063972341,-0.5386702030380417,-0.3416699527017825,0.05822131853443587,-0.2991426820483962,0.12041232245164324,-0.3248340123714874,-0.5004547484736219,-0.13083645494613536,0.103759246047931,-0.15979550437376958,-0.2932702976818528,2.283737333317025,-0.18289809946017746,-0.23238984157466702
d8.28,-0.3388972842017011,-0.17962528347100146,-0.23661825111439796,-0.5013330561367731,-0.32573571377913696,-0.28042218926018564,-0.46221969802429785,-0.6364886128987535,1.1615167232006585,0.17787654726968008,1.5101674230373276,0.0922788123264524,-0.3086003170181922,-0.4144455874421891,-0.4224903543845317,-0.4299882780885969,-1.7529052907227651,-0.8768377999170222,-0.607579654956315,-0.001382848681904962,-0.33064875855482334,-0.03340344401412939,-1.6393953005593482,-0.14786336087020646,-0.13083645494613536,-0.13409243404619223,-0.15979550437376958,-0.2932702976818528,3.417916052126217,-0.18289809946017746,-0.23238984157466702
d35.25,-0.3388972842017011,-0.17962528347100146,-0.23661825111439796,-0.5013330561367731,0.36859149687498793,-0.32423515249650964,-0.419654783718998,-0.7410984267450512,1.5220136556022101,0.344172637347007,-0.413449253859961,0.0922788123264524,0.07747985516701963,-0.4860337307037374,-0.07341139780164589,-0.4299882780885969,7.246972221639104,0.3514354437591003,6.0050288042590605,-1.6385452084121686,1.0293472819065503,-2.5300242694758954,0.20373251773186066,-0.6422267662292737,-0.13083645494613536,0.21739666088944495,-0.15979550437376958,-0.2932702976818528,-0.461529066790312,-0.18289809946017746,-0.23238984157466702
