Taxonomy level,taxonomy group,normalization 1,normalization 2,Dim Red,TRAIN-AUC,TEST-AUC
five,sum,log,both,None,0.9892509673852958,0.728978021978022
five,sum,relative,No,ICA,0.4990975677169708,0.5034725274725274
five,sum,relative,No,PCA,0.5436891929242675,0.4967142857142857
five,sum,relative,No,None,0.6457193200663349,0.5981098901098901
five,sum,relative,z_after_relative,ICA,0.7114711166390271,0.6122967032967032
five,sum,relative,z_after_relative,PCA,0.8581260364842453,0.6215054945054945
five,sum,relative,z_after_relative,None,0.9605921779988944,0.6500879120879122
five,mean,log,No,ICA,0.7135344112769486,0.6760989010989011
five,mean,log,No,PCA,0.8627321724709786,0.6716373626373625
five,mean,log,No,None,0.7671987285793255,0.6954065934065934
five,mean,log,col,ICA,0.7097650635710336,0.6269340659340659
five,mean,log,col,PCA,0.9265782200110556,0.6690879120879121
five,mean,log,col,None,0.9796634881149806,0.70089010989011
five,mean,log,row,ICA,0.7270107794361527,0.6895604395604396
five,mean,log,row,PCA,0.9020052515201769,0.6842857142857144
five,mean,log,row,None,0.8814268933112217,0.703956043956044
five,mean,log,both,ICA,0.7318456329463792,0.6272747252747253
five,mean,log,both,PCA,0.9537071586511884,0.6871648351648352
five,mean,log,both,None,0.9858506080707572,0.7209120879120878
five,mean,relative,No,ICA,0.5773894416804864,0.5695604395604396
five,mean,relative,No,PCA,0.6132676893311221,0.5892857142857142
five,mean,relative,No,None,0.7366632117191818,0.6592197802197802
five,mean,relative,z_after_relative,ICA,0.7338170259812049,0.6217142857142857
five,mean,relative,z_after_relative,PCA,0.8873555831951354,0.6302087912087913
five,mean,relative,z_after_relative,None,0.9763405196241016,0.6783406593406593
five,sub PCA,log,No,ICA,0.6523935876174682,0.6482197802197802
five,sub PCA,log,No,PCA,0.8590160309563293,0.6957032967032968
five,sub PCA,log,No,None,0.9874882531785518,0.7691428571428571
five,sub PCA,log,col,ICA,0.7472429519071311,0.7022197802197802
five,sub PCA,log,col,PCA,0.9407407407407408,0.7403956043956044
five,sub PCA,log,col,None,0.9949219181868436,0.757956043956044
five,sub PCA,log,row,ICA,0.7158022388059699,0.6846703296703296
five,sub PCA,log,row,PCA,0.9223141238253176,0.7379120879120881
five,sub PCA,log,row,None,0.9926575456053068,0.7674615384615384
five,sub PCA,log,both,ICA,0.7961159480375899,0.7278461538461538
five,sub PCA,log,both,PCA,0.9814137645107792,0.7768901098901101
five,sub PCA,log,both,None,0.9963101160862354,0.7816373626373626
five,sub PCA,relative,No,ICA,0.5790042841348809,0.5823186813186814
five,sub PCA,relative,No,PCA,0.6129477611940299,0.5875494505494505
five,sub PCA,relative,No,None,0.718407960199005,0.6426043956043955
five,sub PCA,relative,z_after_relative,ICA,0.7666680486456606,0.6649120879120879
five,sub PCA,relative,z_after_relative,PCA,0.9354532891100056,0.6861538461538461
five,sub PCA,relative,z_after_relative,None,0.9930693753454948,0.7160109890109889
six,sum,log,No,ICA,0.7372823383084576,0.6772637362637363
six,sum,log,No,PCA,0.9835862354892206,0.7803516483516483
six,sum,log,No,None,0.8572256771697069,0.7443736263736265
six,sum,log,col,ICA,0.8458609729132117,0.7031098901098901
six,sum,log,col,PCA,0.9908595909342178,0.7691978021978023
six,sum,log,col,None,0.9981377833056936,0.7749450549450552
six,sum,log,row,ICA,0.7932808181315644,0.7128131868131868
six,sum,log,row,PCA,0.991765478164732,0.7947802197802198
six,sum,log,row,None,0.9346171918186842,0.7370989010989011
six,sum,log,both,ICA,0.8620791873963516,0.727879120879121
six,sum,log,both,PCA,0.9980251520176892,0.7860109890109891
six,sum,log,both,None,0.9977114427860698,0.7669010989010989
