best_train_acc,best_train_auc,best_train_loss,best_dev_acc,best_dev_auc,best_dev_loss,size_alphabet,num_states,num_accept_states,epochs,lstm_out_dim
0.9998,0.9999836799582207,0.0048193419352173805,0.738,0.8227309061911199,1.2735683917999268,7,15,2,200,60
0.9998,1.0,0.008064503781497478,0.727,0.8090146049810312,1.1816658973693848,7,15,2,200,60
1.0,1.0,0.00956025067716837,0.7402,0.8214342401777719,1.1480942964553833,7,15,2,200,60
0.9994,0.9999996799899645,0.008253435604274273,0.7022,0.7685107404968221,1.495736837387085,7,16,2,200,60
0.9998,1.0,0.011047170497477055,0.7146,0.7906071358170708,1.2684720754623413,7,16,2,200,60
0.9998,0.9999998399753947,0.01230726670473814,0.6636,0.7324170164404479,1.6028109788894653,7,16,2,200,60
0.9998,1.0,0.003865573788061738,0.6854,0.7718478229738527,1.6907556056976318,7,17,2,200,60
0.9992,0.9999401549347137,0.013423620723187923,0.642,0.7144388701059656,1.7061718702316284,7,17,2,200,60
0.9998,1.0,0.006019557360559702,0.6902,0.7541335009434469,1.5117741823196411,7,17,2,200,60
0.9996,1.0,0.007694494444876909,0.7122,0.7828269179166845,1.4165244102478027,7,18,2,200,60
0.9996,1.0,0.009015589021146297,0.7308,0.8026987167886642,1.2565065622329712,7,18,2,200,60
0.9996,1.0,0.015568802133202553,0.6198,0.66634488,1.620565414428711,7,18,2,200,60
0.9998,1.0,0.01096146460622549,0.586,0.6280573678268617,2.033140182495117,7,19,2,200,60
0.9986,0.9999964786472372,0.01716073974967003,0.6318,0.6900519703649355,1.7095415592193604,7,19,2,200,60
1.0,1.0,0.00964202731847763,0.7456,0.8252834302220929,1.224045753479004,7,19,2,200,60
0.9992,1.0,0.014742370694875717,0.6418,0.7026536751736339,1.508792519569397,7,20,2,200,60
0.9996,1.0,0.01663941703736782,0.6166,0.6693992271038763,1.7579072713851929,7,20,2,200,60
1.0,1.0,0.009732033126056194,0.651,0.7185809452353968,1.6269363164901733,7,20,2,200,60
0.9996,0.9999995199999999,0.013460952788591385,0.6836,0.75779496,1.4475367069244385,8,15,2,200,60
0.995,0.9999833591373377,0.02568478137254715,0.7268,0.7934800940080734,1.090394139289856,8,15,2,200,60
1.0,1.0,0.00716677401214838,0.7556,0.8348355404425482,1.1828469038009644,8,15,2,200,60
0.9998,1.0,0.01444784365594387,0.6706,0.7390265139678694,1.3626959323883057,8,16,2,200,60
