feature_id	taxonomy	control.1	control.13	control.15	control.16	control.18	control.19	control.20	control.22	control.27	control.28	control.29	control.3	control.30	control.31	control.38	control.4	control.40	control.43	control.45	control.5	control.6	control.7	control.8	FIBRO.1	FIBRO.10	FIBRO.11	FIBRO.13	FIBRO.15	FIBRO.17	FIBRO.18	FIBRO.19	FIBRO.2	FIBRO.20	FIBRO.21	FIBRO.22	FIBRO.23	FIBRO.24	FIBRO.25	FIBRO.26	FIBRO.27	FIBRO.28	FIBRO.3	FIBRO.4	FIBRO.5	FIBRO.6	FIBRO.7	FIBRO.8	FIBRO.9	our.control.18	our.control.19	our.control.22	our.control.23	our.control.25	our.control.4	FIBRO.29	FIBRO.30	FIBRO.31	FIBRO.32	FIBRO.33	FIBRO.34	FIBRO.35	FIBRO.36	FIBRO.37	FIBRO.38	FIBRO.39F	FIBRO.40	FIBRO.41	FIBRO.43	FIBRO.44
5c846e74994b8e8fc8f6a991b4dafaf8	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Phascolarctobacterium; s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1374	700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	337	0	1026	0	0	0	472	0	0	0	0	0	0	0	0	0	0	2614	5743	0	196	0	0	0	0	538	1774	0	469	0	0	0	0	0	0	0	0
5729559ce8068bffd3efb06d987c8128	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	708	18	14	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0
ad448313c8f96e26979d265d8adb87d9	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0
2274c32619ea4324fe1bde7ebbfb55f1	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__uniformis	198	2537	583	1031	4590	316	6420	566	32	547	326	3330	1560	362	5981	29	5236	12563	229	1957	11253	15997	1457	60	664	2204	5513	461	5409	223	247	2724	2988	41	29	85	5479	5540	141	426	400	1176	1219	639	44	2287	1303	1766	4942	437	780	429	125	6634	23	1552	432	273	0	0	279	675	1923	1811	412	375	948	23	469
29b612f26eb0498c52985b48bf2f9621	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
fb6368353c463a4ba3ada353fe8c862b	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__	0	34	0	0	24	65	0	30	0	0	0	25	49	0	21	0	0	0	35	0	0	0	0	0	44	30	0	0	0	0	0	0	70	0	69	0	25	54	597	0	0	50	0	0	39	0	59	36	18	23	31	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0
525361e9d5f9b5305adf00f96ae7fabe	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	4	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
812b04ed5f3f689074a4cfcb07e0661b	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__	0	0	0	0	82	0	0	109	0	0	0	101	204	0	0	0	0	0	327	65	0	128	0	0	0	0	0	0	0	0	0	55	0	0	169	0	0	383	308	443	130	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	167	0	0	0	0	0	0	0	0	0	0
e6fb21b18614d4307dd41f70db939b5c	k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__; s__	1160	0	16	112	0	70	0	106	24	126	17	363	329	50	0	34	97	0	337	160	21	0	0	85	193	513	0	0	0	13	0	0	0	0	1050	0	107	320	1472	0	0	397	0	0	187	94	433	101	0	101	0	0	21	93	0	64	16	3	48	123	79	0	0	0	0	0	0	29	58
dae4f087bb34643bd81cd7ef6f24be5c	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0
